stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
15,Mizoram,266,Mamit,1896,Zawlnuam,271030,Serhmun West,796470
15,Mizoram,268,Serchhip,1910,Serchhip,931580,Baktawng,796161
15,Mizoram,261,Aizawl,1904,Aibawk,271229,Hualngohmun,796005
15,Mizoram,261,Aizawl,1904,Aibawk,271247,Samlukhai,796190
15,Mizoram,261,Aizawl,1904,Aibawk,271251,Sialsuk,796190
15,Mizoram,261,Aizawl,1902,Darlawn,933802,Darlawn Venghlun,796111
15,Mizoram,261,Aizawl,1902,Darlawn,271215,Hmunnghak,796017
15,Mizoram,261,Aizawl,1902,Darlawn,271189,Palsang,796111
15,Mizoram,261,Aizawl,1902,Darlawn,271201,Ratu,796111
15,Mizoram,261,Aizawl,1902,Darlawn,271193,Vaitin,796111
15,Mizoram,261,Aizawl,1902,Darlawn,271185,Zokhawthiang,796111
15,Mizoram,261,Aizawl,1901,Tlangnuam,935365,Lengpui,796421
15,Mizoram,261,Aizawl,1901,Tlangnuam,271259,Muthi,796015
15,Mizoram,261,Aizawl,1901,Tlangnuam,271265,Samtlang,796005
15,Mizoram,262,Champhai,1908,Champhai,937844,Champhai Jail Veng,796321
15,Mizoram,262,Champhai,1908,Champhai,935472,Kahrawt,796321
15,Mizoram,262,Champhai,1908,Champhai,271342,Lungphunlian,796321
15,Mizoram,262,Champhai,1908,Champhai,271345,N.Diltlang,796321
15,Mizoram,262,Champhai,1908,Champhai,935475,Ruantlang,796321
15,Mizoram,262,Champhai,1908,Champhai,271339,Vaikhawtlang,796321
15,Mizoram,262,Champhai,1908,Champhai,935466,Vengthlang,796321
15,Mizoram,262,Champhai,1908,Champhai,271338,Zokhawthar,796321
15,Mizoram,262,Champhai,1908,Champhai,935481,Zotlang East,796321
15,Mizoram,262,Champhai,1909,Khawbung,271368,Khawbung South,796320
15,Mizoram,262,Champhai,1909,Khawbung,271366,Samthang,796320
15,Mizoram,262,Champhai,1909,Khawbung,271364,Vangchhia,796320
15,Mizoram,262,Champhai,1909,Khawbung,271358,Vanzau,796320
15,Mizoram,726,Hnahthial,1915,Hnahthial,935464,Hnahthial South-II,796571
15,Mizoram,726,Hnahthial,1915,Hnahthial,271549,Lungmawi,796571
15,Mizoram,726,Hnahthial,1915,Hnahthial,271613,South Vanlaiphai,796571
15,Mizoram,728,Khawzawl,1907,Khawzawl,935486,Khawzawl Hermon,796310
15,Mizoram,728,Khawzawl,1907,Khawzawl,939565,Khawzawl Zaingen,796310
15,Mizoram,728,Khawzawl,1907,Khawzawl,271316,Neihdawn,796310
15,Mizoram,728,Khawzawl,1907,Khawzawl,271314,Tualpui,796310
15,Mizoram,263,Kolasib,1900,Bilkhawthlir,935380,Kolasib Project Veng,796081
15,Mizoram,263,Kolasib,1900,Bilkhawthlir,936339,Kolasib Rengtekawn,796081
15,Mizoram,263,Kolasib,1900,Bilkhawthlir,951305,Saipum-II,796081
15,Mizoram,263,Kolasib,1900,Bilkhawthlir,935388,Vairengte-III,796101
15,Mizoram,263,Kolasib,1899,Thingdawl,935392,Kawnpui-II,796070
15,Mizoram,263,Kolasib,1899,Thingdawl,951220,Thingdawl-II,796081
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,271752,Chamdur P-I,796891
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,271755,Chamdurtlang II,796891
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,271749,Chikhurlui,796891
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,271742,Damlui,796891
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,271759,Dumzautlang,796891
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,945901,Jognasury-II,796770
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,914302,Kawnkhua,796891
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,271743,Nghalimlui,796891
15,Mizoram,264,Lawngtlai,1918,Bungtlang South,271757,Ngunlingkhua,796891
15,Mizoram,264,Lawngtlai,1916,Chawngte,271629,Baganpara,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,914265,Barakabakhali-II,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271656,Barkalak,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271665,Chaminisora,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271666,Charluitlang,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271672,Chotaguisury-I,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271626,Chotapansury,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271677,Dursora,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271691,Gabasury,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271638,Gerakuluksora,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271671,Gerasury,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,939569,Kamalanagar V,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,914269,Longpuighat-Ii,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271637,Nagdarasora,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,914271,New Jaganasury-Iii,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271634,Old Bajeisora,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271688,Parva-II,796891
15,Mizoram,264,Lawngtlai,1916,Chawngte,271619,Rajmandal,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271628,Saizawh W,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271657,Simeisury,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271621,Ugudasury N,796770
15,Mizoram,264,Lawngtlai,1916,Chawngte,271648,Ulusury,796770
15,Mizoram,264,Lawngtlai,1917,Lawngtlai,271705,Chawngtelui,796891
15,Mizoram,264,Lawngtlai,1917,Lawngtlai,914312,Chawnhu,796891
15,Mizoram,264,Lawngtlai,1917,Lawngtlai,914308,College Veng,796891
15,Mizoram,264,Lawngtlai,1917,Lawngtlai,271732,Sabualtlang,796891
15,Mizoram,264,Lawngtlai,1917,Lawngtlai,914292,Thingkah,796891
15,Mizoram,264,Lawngtlai,1917,Lawngtlai,271699,Tuikhurlui,796891
15,Mizoram,264,Lawngtlai,1919,Sangau,271773,Lungzarhtum,796901
15,Mizoram,264,Lawngtlai,1919,Sangau,271778,Sentetfiang,796901
15,Mizoram,264,Lawngtlai,1919,Sangau,271774,Tialdawngilung,796901
15,Mizoram,265,Lunglei,1912,Bunghmun,271454,Belkhai,796751
15,Mizoram,265,Lunglei,1912,Bunghmun,271435,Changpui,796701
15,Mizoram,265,Lunglei,1912,Bunghmun,271457,Lungdai South,796701
15,Mizoram,265,Lunglei,1912,Bunghmun,271438,Sachan,796701
15,Mizoram,265,Lunglei,1912,Bunghmun,271421,Sesawm,796701
15,Mizoram,265,Lunglei,1914,Lunglei,935439,Pukpui,796691
15,Mizoram,265,Lunglei,1914,Lunglei,271544,Ramlaitui,796186
15,Mizoram,265,Lunglei,1914,Lunglei,271568,Runtung,796701
15,Mizoram,265,Lunglei,1914,Lunglei,271583,Tawipui South,796701
15,Mizoram,265,Lunglei,1914,Lunglei,935444,Zobawk North,796701
15,Mizoram,265,Lunglei,1914,Lunglei,935446,Zotlang,796691
15,Mizoram,265,Lunglei,1913,Lungsen,271538,Lungrang South,796701
15,Mizoram,265,Lunglei,1913,Lungsen,271514,Lungrang South-I,796701
15,Mizoram,265,Lunglei,1913,Lungsen,271500,Rangte,796701
15,Mizoram,265,Lunglei,1913,Lungsen,271515,Sailen,796701
15,Mizoram,265,Lunglei,1913,Lungsen,271536,Tuisenchhuah,796701
15,Mizoram,265,Lunglei,7358,Tlabung,271446,Devasuri,796751
15,Mizoram,265,Lunglei,7358,Tlabung,271464,Diblibagh,796751
15,Mizoram,265,Lunglei,7358,Tlabung,935460,Madhiasora,796701
15,Mizoram,265,Lunglei,7358,Tlabung,271489,Muriskata,796701
15,Mizoram,265,Lunglei,7358,Tlabung,271503,Silkur,796701
15,Mizoram,265,Lunglei,7358,Tlabung,271466,Tuichawng,796751
15,Mizoram,265,Lunglei,7358,Tlabung,271459,Ukdasuri (Tuilet),796701
15,Mizoram,265,Lunglei,7358,Tlabung,959769,Zohmun,796701
15,Mizoram,266,Mamit,7342,Kawrtethawveng,271061,Belkhai,796431
15,Mizoram,266,Mamit,7342,Kawrtethawveng,935412,Sotapa,796470
15,Mizoram,266,Mamit,7342,Kawrtethawveng,271074,Thaidawr,796441
15,Mizoram,266,Mamit,7342,Kawrtethawveng,951218,Tuipuibari-II,796441
15,Mizoram,266,Mamit,1898,Reiek,271119,Nghalchawm,796410
15,Mizoram,266,Mamit,1897,West Phaileng,271084,Khawhnai,796431
15,Mizoram,266,Mamit,1897,West Phaileng,935413,Marpara Mizo Veng,796431
15,Mizoram,266,Mamit,1897,West Phaileng,271111,Marpara North,796431
15,Mizoram,266,Mamit,1897,West Phaileng,271097,Parvatui,796431
15,Mizoram,266,Mamit,1897,West Phaileng,935415,Silsury West,796431
15,Mizoram,266,Mamit,1896,Zawlnuam,935426,Borai,796470
15,Mizoram,266,Mamit,1896,Zawlnuam,271019,Bungthuam,796470
15,Mizoram,266,Mamit,1896,Zawlnuam,271058,Chuhvel,796081
15,Mizoram,266,Mamit,1896,Zawlnuam,271013,Kanhmun,796470
15,Mizoram,266,Mamit,1896,Zawlnuam,951219,Kawrthah,796441
15,Mizoram,266,Mamit,1896,Zawlnuam,935424,Luangpawl,796441
15,Mizoram,266,Mamit,1896,Zawlnuam,935420,Mamit Bazar Veng,796441
15,Mizoram,266,Mamit,1896,Zawlnuam,935423,Mamit Venghlun,796441
15,Mizoram,266,Mamit,1896,Zawlnuam,271022,Rengdil,796470
15,Mizoram,266,Mamit,1896,Zawlnuam,271049,Sihthiang,796470
15,Mizoram,266,Mamit,1896,Zawlnuam,271016,Thinghlun,796470
15,Mizoram,266,Mamit,1896,Zawlnuam,271048,Tlangkhang,796470
