stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
10,Bihar,206,Madhubani,1085,Laukaha,220024,Tengrar,847409
10,Bihar,218,Saran,1257,Revelganj,233550,Atraulia,841301
10,Bihar,218,Saran,1257,Revelganj,233596,Digri Shuda,841301
10,Bihar,218,Saran,1257,Revelganj,233582,Dilia Rahimpur,841301
10,Bihar,193,Bhojpur,1429,Piro,247345,Beduwa,802201
10,Bihar,194,Buxar,1440,Dumraon,948773,Bankat,802101
10,Bihar,192,Bhagalpur,1341,Shahkund,239760,Abdulrasul,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239848,Anandpur Khurd,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239819,Banawan Arazi,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,904325,Bariyarpur Milik,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239754,Basdeopur,813207
10,Bihar,192,Bhagalpur,1341,Shahkund,958353,Chakberain,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,958355,Chak Jainav,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,958354,Chak Jainav,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239885,Chandpur,813105
10,Bihar,192,Bhagalpur,1341,Shahkund,239869,Chanra Khurd,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,904322,Chara Bargaon,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239808,Damodarpur,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239749,Dariapur,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239831,Dumra,813207
10,Bihar,192,Bhagalpur,1341,Shahkund,239833,Gambhirpur,813207
10,Bihar,192,Bhagalpur,1341,Shahkund,904334,Gauradih Daradhi,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239793,Ghorpithia,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239780,Gurgawan,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239826,Harnathpur,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239862,Ibrahimpur,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239752,Khaira,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239890,Madsudanpur,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239797,Majrohi,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239784,Makanpur,812004
10,Bihar,192,Bhagalpur,1341,Shahkund,948700,Manullah Hawaldar Inglis,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239737,Manullah Hawaldar Inglish,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239829,Milki,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239745,Munjath Buzurg,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239747,Naraenpur,812004
10,Bihar,192,Bhagalpur,1341,Shahkund,239740,Neamatkhan Hawaldar Inglish,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239775,Paairdominia Terahbighi,813110
10,Bihar,192,Bhagalpur,1341,Shahkund,239765,Pachrukhi,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239774,Pairodominia Milik,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239755,Parmanpur,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,904331,Rahmatullahe,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239842,Rasula,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239815,Sagrampur,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239864,Sajaur,812006
10,Bihar,192,Bhagalpur,1341,Shahkund,239727,Sarha,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239799,Sarhi,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239801,Sarhikita Arazi,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,948580,Sarokh,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239763,Tekna,813108
10,Bihar,192,Bhagalpur,1341,Shahkund,239785,Thakarpur,813108
10,Bihar,192,Bhagalpur,1344,Sonhaula,240322,Amdanda Buzurg,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240349,Arar,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240345,Bansipur Bela,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240282,Bastikia,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240361,Beldiha,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240324,Bhawanipur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240249,Bhuwanchak,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240307,Budhuchak,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,958360,Chakgosi,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240320,Didanagar,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,904366,Esafuddinpur,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240256,Gadkachak,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240238,Garbhudih Mal,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240235,Gathaur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240223,Gausichak,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240213,Ghuthiani,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240218,Gokulpur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240215,Harirampur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240260,Imamuddinpur,813105
10,Bihar,192,Bhagalpur,1344,Sonhaula,240210,Jagarnathpur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240337,Jalha Milik,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,904364,Jhanki,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240305,Karimchak,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240289,Kewanchak,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240359,Kusapur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240262,Loghra,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240214,Madarganj,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240229,Madhusudanpur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240202,Maheshkhor,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240318,Mahila,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,904363,Maniyar Rasalpur,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240316,Mansarkita,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,904571,Masifar,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,904577,Murgia,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240301,Murgiachak,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240295,Nathuchak,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240341,Pakaria,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240268,Palwa,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240296,Parasrampur,813205
10,Bihar,192,Bhagalpur,1344,Sonhaula,240293,Raghopur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240321,Rampur,813204
10,Bihar,192,Bhagalpur,1344,Sonhaula,240212,Rasulpur,812005
10,Bihar,192,Bhagalpur,1344,Sonhaula,240195,Sanokhar,813204
