stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
5,Uttarakhand,57,Uttarkashi,6366,Joshiyara,40797,Kuroli,249193
5,Uttarakhand,57,Uttarkashi,6366,Joshiyara,40792,Nirakot,249193
5,Uttarakhand,57,Uttarkashi,6366,Joshiyara,40780,Pokhari,249193
5,Uttarakhand,57,Uttarkashi,6366,Joshiyara,40800,Sara,249193
5,Uttarakhand,57,Uttarkashi,6366,Joshiyara,40791,Silyar,249193
5,Uttarakhand,57,Uttarkashi,279,Mori,40199,Arakot,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40188,Chiwan,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40221,Halywari,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40187,Jagta,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40219,Khanna,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40263,Kharsari,249185
5,Uttarakhand,57,Uttarkashi,279,Mori,40249,Mautar,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40190,Monda,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40252,Nuranu,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40215,Petri,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40280,Rupin Range,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40211,Thali,249128
5,Uttarakhand,57,Uttarkashi,279,Mori,40207,Wegal,249128
5,Uttarakhand,57,Uttarkashi,278,Puraula,40101,Bestiwalli,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40172,Bingadhera Malla,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40165,Chandeli,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40118,Chhanika,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40136,Devdhung,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40125,Dhundada,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40174,Hudoli,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40170,Kamra,249171
5,Uttarakhand,57,Uttarkashi,278,Puraula,40159,Karara (Kurura),249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40131,Kharkyasem,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40117,Kimdar,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40104,Raun,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40167,Saundari,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40124,Shreekot,249185
5,Uttarakhand,57,Uttarkashi,278,Puraula,40129,Sunali,249185
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40348,Banas,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40306,Bigrari,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40323,Danda Gaon,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40368,Dandalgaon,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40292,Gaul Banal,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40297,Ghandala,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40285,Jakhali,249171
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40307,Kanda,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40308,Karnali,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40398,Kimi,249171
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40337,Kishala,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40356,Kunshala,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40345,Kuthar,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40319,Kwal Gaon,249141
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40394,Kwari,249171
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40385,Manjyali,249171
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40391,Matiyali,249171
5,Uttarakhand,57,Uttarkashi,280,Rajgarhi,40373,Molda,249141
