stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
13,Nagaland,250,Wokha,1782,Bhandari,948342,Nitsuyan,797099
13,Nagaland,758,Chumoukedima,1797,Chumukedima,913589,Chumukedima A,797103
13,Nagaland,758,Chumoukedima,1797,Chumukedima,267699,Diesephe,797112
13,Nagaland,758,Chumoukedima,1797,Chumukedima,267705,Naga United Vill.,797112
13,Nagaland,758,Chumoukedima,1797,Chumukedima,914023,Selouphe,797112
13,Nagaland,758,Chumoukedima,1798,Dhansiripar,267756,Kiyevi,797112
13,Nagaland,758,Chumoukedima,1798,Dhansiripar,267753,K. Xekiye,797112
13,Nagaland,758,Chumoukedima,1798,Dhansiripar,267702,Murise,797112
13,Nagaland,758,Chumoukedima,1798,Dhansiripar,267738,Pimla,797103
13,Nagaland,758,Chumoukedima,1798,Dhansiripar,267743,Zutovi A And B,797112
13,Nagaland,758,Chumoukedima,1799,Medziphema,267770,Bungsang,797106
13,Nagaland,758,Chumoukedima,1799,Medziphema,267762,Pherima,797106
13,Nagaland,758,Chumoukedima,1799,Medziphema,267716,Sethikima Old,797103
13,Nagaland,758,Chumoukedima,1799,Medziphema,267772,Socunoma,797106
13,Nagaland,758,Chumoukedima,1799,Medziphema,942636,Tsiepama Model,797106
13,Nagaland,758,Chumoukedima,1799,Medziphema,913944,Zukihe,797106
13,Nagaland,244,Dimapur,1796,Dimapur Sadar,913849,Bamunpukhuri,797116
13,Nagaland,244,Dimapur,1796,Dimapur Sadar,267677,Darogajan,797115
13,Nagaland,244,Dimapur,1796,Dimapur Sadar,267687,Ekrani Pathar,797115
13,Nagaland,244,Dimapur,1796,Dimapur Sadar,267657,Kashiram,797113
13,Nagaland,244,Dimapur,1796,Dimapur Sadar,267671,L. Hotovi,797116
13,Nagaland,244,Dimapur,1796,Dimapur Sadar,267680,Samaguri,797116
13,Nagaland,244,Dimapur,1796,Dimapur Sadar,267661,Signal Angami,797118
13,Nagaland,244,Dimapur,1796,Dimapur Sadar,267679,Zani,797116
13,Nagaland,614,Kiphire,1836,Amahator,268104,Huronger,798611
13,Nagaland,614,Kiphire,1836,Amahator,268114,Keor,798611
