stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
21,Odisha,344,Anugul,3013,Industrial,404367,Kaliakata,759130
21,Odisha,344,Anugul,3005,Samal Barrage,403872,Parabil,759100
21,Odisha,359,Kandhamal,3116,Chakapada,416083,Chakapad P.R.F.,762028
21,Odisha,359,Kandhamal,3121,Tumudibandha,416987,Mundigarh Dpf,762107
21,Odisha,348,Bhadrak,2915,Basudevpur,952449,Banshipatana,756120
21,Odisha,348,Bhadrak,2915,Basudevpur,952473,Panchurukhi,756120
21,Odisha,348,Bhadrak,2915,Basudevpur,952469,Radhanathpur,756120
21,Odisha,344,Angul,3011,Angul,405116,Antulia Forest Beat,759127
21,Odisha,344,Angul,3011,Angul,405275,Bhurukundi,759129
21,Odisha,345,Balangir,3144,Patnagarh,420531,Burdabahal,767025
21,Odisha,345,Balangir,3144,Patnagarh,420683,Chakamal,767025
21,Odisha,345,Balangir,3144,Patnagarh,420521,Chandanjuri,767025
21,Odisha,345,Balangir,3144,Patnagarh,420601,Daldali,767025
21,Odisha,345,Balangir,3144,Patnagarh,420619,Dumerpadar,767025
21,Odisha,345,Balangir,3144,Patnagarh,420604,Gahirpali,767025
21,Odisha,345,Balangir,3144,Patnagarh,420557,Gandamel,767025
21,Odisha,345,Balangir,3144,Patnagarh,420602,Gargadchhapar,767025
21,Odisha,345,Balangir,3144,Patnagarh,420689,Ghuchepali,767025
21,Odisha,345,Balangir,3144,Patnagarh,420533,Jalpali,767025
21,Odisha,345,Balangir,3144,Patnagarh,420676,Jambahal,767025
21,Odisha,345,Balangir,3144,Patnagarh,420693,Kadalimunda,767025
21,Odisha,345,Balangir,3144,Patnagarh,420573,Khuntasamalai,767025
21,Odisha,345,Balangir,3144,Patnagarh,420575,Kusabahali,767025
21,Odisha,345,Balangir,3144,Patnagarh,420634,Kusumkani,767025
21,Odisha,345,Balangir,3144,Patnagarh,420532,Kuturla,767025
21,Odisha,345,Balangir,3144,Patnagarh,420561,Ladangabhata,767025
21,Odisha,345,Balangir,3144,Patnagarh,420613,Maruan,767025
21,Odisha,345,Balangir,3144,Patnagarh,420562,Pandesara,767025
21,Odisha,345,Balangir,3144,Patnagarh,420660,Podhmund,767025
21,Odisha,345,Balangir,3144,Patnagarh,420650,Rengtasil,767025
21,Odisha,345,Balangir,3144,Patnagarh,420674,San Kalangapali,767025
21,Odisha,345,Balangir,3144,Patnagarh,420703,Semelmunda,767025
21,Odisha,345,Balangir,3144,Patnagarh,420633,Tendapadar,767041
21,Odisha,345,Balangir,3144,Patnagarh,420647,Tentelkhunti,767025
21,Odisha,345,Balangir,3144,Patnagarh,420622,Thakpara,767025
21,Odisha,345,Balangir,3144,Patnagarh,420682,Turlamal,767025
21,Odisha,345,Balangir,7455,Puintala,420213,Aenlapali,767002
21,Odisha,345,Balangir,7455,Puintala,420211,Amthimunda,767002
21,Odisha,345,Balangir,7455,Puintala,420152,Bainrasar,767002
21,Odisha,345,Balangir,7455,Puintala,420076,Bargaon,767002
21,Odisha,345,Balangir,7455,Puintala,420203,Bhaler,767002
21,Odisha,345,Balangir,7455,Puintala,420169,Bijabahali,767002
21,Odisha,345,Balangir,7455,Puintala,420088,Burobhadi,767002
21,Odisha,345,Balangir,7455,Puintala,420164,Charpali,767002
