stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
8,Rajasthan,107,Jodhpur,570,Jodhpur,914705,Bhagtasni Saansan,342024
8,Rajasthan,107,Jodhpur,570,Jodhpur,926343,Mandore 1,342304
8,Rajasthan,107,Jodhpur,570,Jodhpur,926344,Mandore 2,342304
8,Rajasthan,99,Dungarpur,649,Simalwara,926593,Bharatpura,314403
8,Rajasthan,102,Jaipur,6026,Kishangarh Renwal,946218,Gulabinagar,303602
8,Rajasthan,102,Jaipur,6026,Kishangarh Renwal,946207,Kishorpura,303123
8,Rajasthan,117,Udaipur,689,Girwa,902309,Rampura,313205
8,Rajasthan,117,Udaipur,695,Kherwara,915664,Kadwal,313803
8,Rajasthan,774,Beawar,609,Beawar,927942,Fatehpuriya 2,305901
8,Rajasthan,113,Sawai Madhopur,6386,Wazeerpur,77075,Barh Rayal,322220
8,Rajasthan,113,Sawai Madhopur,6386,Wazeerpur,77078,Chak Redayal Goojar,322220
8,Rajasthan,108,Karauli,7360,Balghat,76331,Chak Bahadurpur,322230
8,Rajasthan,108,Karauli,7360,Balghat,76281,Ghatra Sherpur,322230
8,Rajasthan,108,Karauli,7360,Balghat,76300,Kanwar Pura,322230
8,Rajasthan,108,Karauli,7360,Balghat,76305,Katara Aziz,322230
8,Rajasthan,108,Karauli,7360,Balghat,76322,Kirwara,322220
8,Rajasthan,108,Karauli,7360,Balghat,76301,Lalaram Ka Pura,322230
8,Rajasthan,108,Karauli,7360,Balghat,76325,Ranoli,322220
8,Rajasthan,108,Karauli,7360,Balghat,76286,Salaipura,322220
8,Rajasthan,108,Karauli,6379,Masalpur,937092,Badapura,322252
8,Rajasthan,108,Karauli,6379,Masalpur,76666,Chainpur,322241
8,Rajasthan,108,Karauli,6379,Masalpur,76699,Chavadpura,322252
8,Rajasthan,108,Karauli,6379,Masalpur,76668,Gadoli,322241
8,Rajasthan,108,Karauli,6379,Masalpur,76679,Keshrisingh Ka Pura,322241
8,Rajasthan,108,Karauli,6379,Masalpur,76704,Nawlapura,322252
8,Rajasthan,108,Karauli,525,Sapotra,76896,Danda,322252
