stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
34,Puducherry,598,Karaikal,5915,Thirunallar Taluk,912386,Karukankudy,609607
34,Puducherry,600,Pondicherry,5912,Bahour Taluk,912384,Soriankuppam,607402
34,Puducherry,600,Pondicherry,5911,Villianur Taluk,912399,Sivarandagam,605106
34,Puducherry,598,Karaikal,5914,Karaikal,644989,Kizhamanai,609604
34,Puducherry,598,Karaikal,5914,Karaikal,644988,Vizhidiyur,609607
34,Puducherry,598,Karaikal,5915,Thirunallar,645006,Keezhavoor,609607
34,Puducherry,598,Karaikal,5915,Thirunallar,644999,Nedungadu,609603
34,Puducherry,598,Karaikal,5915,Thirunallar,644997,Ponbethy,609603
34,Puducherry,598,Karaikal,5915,Thirunallar,645004,Sorakudy,609607
34,Puducherry,598,Karaikal,5915,Thirunallar,645007,Thirunallar,609607
34,Puducherry,600,Puducherry,5912,Bahour,644982,Kuruvinatham,607402
34,Puducherry,600,Puducherry,5912,Bahour,644967,Pandasozhanur,605106
34,Puducherry,600,Puducherry,5913,Mahe,948034,Kallayi,673310
34,Puducherry,600,Puducherry,5910,Oulgaret,937516,Kalapet,605014
34,Puducherry,600,Puducherry,5910,Oulgaret,937520,Karuvadikuppam,605008
34,Puducherry,600,Puducherry,5909,Puducherry,947959,Olandai,605004
34,Puducherry,600,Puducherry,5911,Villianur,644943,Karasoor,605502
34,Puducherry,600,Puducherry,5911,Villianur,644952,Kizhur,605106
34,Puducherry,600,Puducherry,5911,Villianur,644939,Madagadipet,605107
34,Puducherry,600,Puducherry,5911,Villianur,644932,Mannadipet,605501
34,Puducherry,600,Puducherry,5911,Villianur,644946,Ramanathapuram,605502
34,Puducherry,600,Puducherry,5911,Villianur,644937,Sanniyasikuppam,605107
34,Puducherry,600,Puducherry,5911,Villianur,644934,Sorapet,605501
34,Puducherry,600,Puducherry,5911,Villianur,644940,Thirubuvanai,605107
34,Puducherry,600,Puducherry,5911,Villianur,644941,Thiruvandarkoil,605102
34,Puducherry,600,Puducherry,5911,Villianur,644935,Vambupet,605501
34,Puducherry,600,Pondicherry,5912,Bahour Taluk,912398,Sembianpalayam,605110
34,Puducherry,600,Pondicherry,5909,Puducherry Taluk,912392,Nallavadu,605007
34,Puducherry,600,Pondicherry,5911,Villianur Taluk,912402,Sulthanpet,605110
34,Puducherry,598,Karaikal,5914,Karaikal,948029,Koilpathu,609605
34,Puducherry,598,Karaikal,5914,Karaikal,948032,Thalatheru,609605
34,Puducherry,598,Karaikal,5915,Thirunallar,644996,Kurumbagaram,609603
34,Puducherry,598,Karaikal,5915,Thirunallar,645002,Nallazhandur,609601
34,Puducherry,598,Karaikal,5915,Thirunallar,644998,Puthakudy,609609
34,Puducherry,598,Karaikal,5915,Thirunallar,645008,Thennankudy,609607
34,Puducherry,600,Puducherry,5912,Bahour,644975,Karaiyamputhur,605106
34,Puducherry,600,Puducherry,5912,Bahour,644962,Kariamanickam,605106
34,Puducherry,600,Puducherry,5912,Bahour,644979,Manapattu,607402
34,Puducherry,600,Puducherry,5912,Bahour,644981,Parikalpattu,607402
34,Puducherry,600,Puducherry,5912,Bahour,644973,Seliamedu,607402
34,Puducherry,600,Puducherry,5913,Mahe,948033,Chalakara,673310
34,Puducherry,600,Puducherry,5913,Mahe,948035,Mahe,673310
34,Puducherry,600,Puducherry,5913,Mahe,948036,Palloor,673310
34,Puducherry,600,Puducherry,5910,Oulgaret,937515,Alankuppam,605111
34,Puducherry,600,Puducherry,5910,Oulgaret,937518,Reddiarpalayam,605010
34,Puducherry,600,Puducherry,5909,Puducherry,644921,Ariankuppam,605007
34,Puducherry,600,Puducherry,5909,Puducherry,937557,Thengaithittu,605004
34,Puducherry,600,Puducherry,5909,Puducherry,644917,T.N.Palayam,605007
34,Puducherry,600,Puducherry,5911,Villianur,644948,Goodapakkam,605502
34,Puducherry,600,Puducherry,5911,Villianur,644938,Kalitheerthalkuppam,605107
34,Puducherry,600,Puducherry,5911,Villianur,644927,Kattery,605502
34,Puducherry,600,Puducherry,5911,Villianur,644930,Kodathur,605501
34,Puducherry,600,Puducherry,5911,Villianur,644931,Kunichempet,605502
34,Puducherry,600,Puducherry,5911,Villianur,644954,Mangalam,605110
34,Puducherry,600,Puducherry,5911,Villianur,644960,Odiampet,605110
34,Puducherry,598,Karaikal,5915,Thirunallar Taluk,912387,Nallambal,609601
34,Puducherry,600,Pondicherry,5912,Bahour Taluk,912405,Kalmandapam,605106
34,Puducherry,600,Pondicherry,5912,Bahour Taluk,912389,Pannithittu,607402
34,Puducherry,600,Pondicherry,5909,Puducherry Taluk,912394,Kakkayanthope,605007
34,Puducherry,600,Pondicherry,5911,Villianur Taluk,912396,Sandai Pudukuppam,605502
34,Puducherry,598,Karaikal,5914,Karaikal,644991,Kizhaiyur (North),609606
34,Puducherry,598,Karaikal,5914,Karaikal,948028,Kizhakasakudy,609609
34,Puducherry,598,Karaikal,5914,Karaikal,948030,Kizhavely,609602
34,Puducherry,598,Karaikal,5914,Karaikal,644990,Neravy,609604
34,Puducherry,598,Karaikal,5914,Karaikal,948031,Oduthurai,609604
34,Puducherry,598,Karaikal,5914,Karaikal,644984,Poovam,609609
34,Puducherry,598,Karaikal,5914,Karaikal,644995,T.R.Pattinam,609606
34,Puducherry,598,Karaikal,5914,Karaikal,644994,Vanjoor,611002
34,Puducherry,598,Karaikal,5915,Thirunallar,645000,Melakasakudy,609603
34,Puducherry,598,Karaikal,5915,Thirunallar,645011,Pettai,609607
34,Puducherry,598,Karaikal,5915,Thirunallar,645010,Sellur,609607
34,Puducherry,600,Puducherry,5912,Bahour,644977,Irulansanthai,607402
34,Puducherry,600,Puducherry,5912,Bahour,644972,Pillaiyarkuppam,607403
34,Puducherry,600,Puducherry,5911,Villianur,644951,Ariyur,605102
34,Puducherry,600,Puducherry,5911,Villianur,644950,Oussudu,605502
34,Puducherry,600,Puducherry,5911,Villianur,644957,Perungalur,605007
34,Puducherry,600,Puducherry,5911,Villianur,644944,Thuthipet,605502
34,Puducherry,600,Puducherry,5911,Villianur,644955,Uruvaiyar,605110
34,Puducherry,600,Puducherry,5911,Villianur,644933,Vadanur,605501
34,Puducherry,598,Karaikal,5914,Karaikal Taluk,912385,Edatheru,609606
34,Puducherry,600,Pondicherry,5912,Bahour Taluk,912383,Krishnavaram,607402
34,Puducherry,600,Pondicherry,5912,Bahour Taluk,912388,Kudiyiruppupalayam,607402
34,Puducherry,600,Pondicherry,5912,Bahour Taluk,644980,Outchimedu,607402
34,Puducherry,600,Pondicherry,5909,Puducherry Taluk,912393,Andiarpalayam,605007
34,Puducherry,600,Pondicherry,5911,Villianur Taluk,912403,Kottai Medu,605110
34,Puducherry,598,Karaikal,5914,Karaikal,644986,Varichikudy (South),609609
34,Puducherry,598,Karaikal,5915,Thirunallar,645001,Ambagarathur,609601
34,Puducherry,598,Karaikal,5915,Thirunallar,645003,Devamapuram,609607
34,Puducherry,598,Karaikal,5915,Thirunallar,645009,Sethur,609601
34,Puducherry,598,Karaikal,5915,Thirunallar,645005,Subrayapuram,609607
34,Puducherry,600,Puducherry,5912,Bahour,644970,Aranganoor,607402
34,Puducherry,600,Puducherry,5912,Bahour,644964,Embalam,605106
34,Puducherry,600,Puducherry,5912,Bahour,644974,Kaduvanur,607402
34,Puducherry,600,Puducherry,5912,Bahour,644966,Karikalampakkam,605007
34,Puducherry,600,Puducherry,5912,Bahour,644965,Korkadu,605110
34,Puducherry,600,Puducherry,5912,Bahour,644961,Madukarai,605105
34,Puducherry,600,Puducherry,5910,Oulgaret,937517,Thattanchavadi,605009
34,Puducherry,600,Puducherry,5909,Puducherry,644918,Abishekapakkam,605007
34,Puducherry,600,Puducherry,5909,Puducherry,947968,Kompakkam,605110
34,Puducherry,600,Puducherry,5909,Puducherry,644920,Poornankuppam,605007
34,Puducherry,600,Puducherry,5909,Puducherry,644919,Thavalakuppam,605007
34,Puducherry,600,Puducherry,5911,Villianur,644928,Kuppam,605110
34,Puducherry,600,Puducherry,5911,Villianur,644923,Manalipet,605501
34,Puducherry,600,Puducherry,5911,Villianur,644947,Pillaiyarkuppam,605502
34,Puducherry,600,Puducherry,5911,Villianur,644926,Pudukuppam,605106
34,Puducherry,600,Puducherry,5911,Villianur,644936,Sellipet,605501
34,Puducherry,600,Puducherry,5911,Villianur,644925,Suthukeny,605502
34,Puducherry,600,Puducherry,5911,Villianur,644956,Thirukanchi,605110
34,Puducherry,600,Puducherry,5911,Villianur,644959,Villianur,605110
34,Puducherry,600,Pondicherry,5912,Bahour Taluk,912397,Sooramangalam,605107
34,Puducherry,600,Pondicherry,5909,Puducherry Taluk,912391,Veerampattinam,605007
34,Puducherry,600,Pondicherry,5911,Villianur Taluk,912400,Kanuvapet,605110
34,Puducherry,600,Pondicherry,5911,Villianur Taluk,912395,Thirukkanur,605501
34,Puducherry,598,Karaikal,5914,Karaikal,948025,Akkaravattam,609604
34,Puducherry,598,Karaikal,5914,Karaikal,948026,Dharmapuram,609602
34,Puducherry,598,Karaikal,5914,Karaikal,948027,Karaikal,609602
34,Puducherry,598,Karaikal,5914,Karaikal,644992,Kizhaiyur (South),609606
34,Puducherry,598,Karaikal,5914,Karaikal,644987,Kottucherry,609609
34,Puducherry,598,Karaikal,5914,Karaikal,644993,Polagam,609606
34,Puducherry,598,Karaikal,5914,Karaikal,644985,Thiruvettakudy,609609
34,Puducherry,598,Karaikal,5914,Karaikal,644983,Varichikudy (North),609609
34,Puducherry,600,Puducherry,5912,Bahour,644978,Bahour,607402
34,Puducherry,600,Puducherry,5912,Bahour,644963,Eripakkam,605106
34,Puducherry,600,Puducherry,5912,Bahour,644971,Kirumampakkam,607403
34,Puducherry,600,Puducherry,5912,Bahour,644976,Manamedu,607402
34,Puducherry,600,Puducherry,5912,Bahour,644968,Nettapakkam,605106
34,Puducherry,600,Puducherry,5912,Bahour,644969,Panayadikuppam,605106
34,Puducherry,600,Puducherry,5912,Bahour,937521,Utchimedu,607402
34,Puducherry,600,Puducherry,5913,Mahe,948037,Pandakkal,673310
34,Puducherry,600,Puducherry,5910,Oulgaret,937513,Oulgaret,605006
34,Puducherry,600,Puducherry,5910,Oulgaret,937514,Pillaichavady,605014
34,Puducherry,600,Puducherry,5910,Oulgaret,937519,Saram,605013
34,Puducherry,600,Puducherry,5909,Puducherry,644922,Manaveli,605007
34,Puducherry,600,Puducherry,5909,Puducherry,947969,Murungapakkam,605004
34,Puducherry,600,Puducherry,5909,Puducherry,947958,Pondicherry,605001
34,Puducherry,600,Puducherry,5909,Puducherry,937556,Pudupalayam,605013
34,Puducherry,600,Puducherry,5911,Villianur,644924,Chettypet,605501
34,Puducherry,600,Puducherry,5911,Villianur,912401,Kurumbapet,605502
34,Puducherry,600,Puducherry,5911,Villianur,644958,Manakuppam,605106
34,Puducherry,600,Puducherry,5911,Villianur,644949,Olavaikal,605110
34,Puducherry,600,Puducherry,5911,Villianur,644953,Sathamangalam,605110
34,Puducherry,600,Puducherry,5911,Villianur,644942,Sedarapet,605111
34,Puducherry,600,Puducherry,5911,Villianur,644929,Thethampakkam,605110
34,Puducherry,600,Puducherry,5911,Villianur,644945,Thondamanatham,605502
