stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
32,Kerala,554,Alappuzha,5674,Ambalappuzha,628228,Mullakkal (Part),688011
32,Kerala,554,Alappuzha,5677,Chengannur,628271,Mulakuzha (Part),689505
32,Kerala,554,Alappuzha,5677,Chengannur,628269,Thiruvanvandoor,689109
32,Kerala,554,Alappuzha,5676,Karthikappally,628259,Chingoli (Ct),690532
32,Kerala,554,Alappuzha,5676,Karthikappally,628261,Pathiyoor (Ct),690572
32,Kerala,554,Alappuzha,5676,Karthikappally,628265,Puthuppally (Ct),690527
32,Kerala,554,Alappuzha,5675,Kuttanad,628247,Edathua,689573
32,Kerala,554,Alappuzha,5675,Kuttanad,628239,Kunnumma,688504
32,Kerala,554,Alappuzha,5675,Kuttanad,628241,Neelamperoor,686534
32,Kerala,554,Alappuzha,5675,Kuttanad,628238,Pulinkunnu,688502
32,Kerala,554,Alappuzha,5675,Kuttanad,628243,Ramankary,689595
32,Kerala,554,Alappuzha,5675,Kuttanad,628249,Thalavady,689572
32,Kerala,554,Alappuzha,5675,Kuttanad,628242,Veliyanad,686102
32,Kerala,554,Alappuzha,5678,Mavelikkara,628288,Chennithala (Ct),690104
32,Kerala,554,Alappuzha,5678,Mavelikkara,628284,Palamel,689512
32,Kerala,555,Ernakulam,5658,Aluva,913805,Angamaly,683572
32,Kerala,555,Ernakulam,5658,Aluva,627976,Chengamanad (Ct),683578
32,Kerala,555,Ernakulam,5658,Aluva,627980,Choornikkara (Ct),683106
32,Kerala,555,Ernakulam,5658,Aluva,627969,Malayattoor,683587
32,Kerala,555,Ernakulam,5658,Aluva,627968,Manjapra,683581
32,Kerala,555,Ernakulam,5658,Aluva,627972,Mattoor (Ct),683574
32,Kerala,555,Ernakulam,5661,Kanayannur,628003,Edakkattuvayal,682315
32,Kerala,555,Ernakulam,5661,Kanayannur,628004,Kaippattur,682313
32,Kerala,555,Ernakulam,5661,Kanayannur,628011,Mulavukad (Ct),682504
32,Kerala,555,Ernakulam,5661,Kanayannur,913796,Nadama,682301
32,Kerala,555,Ernakulam,5661,Kanayannur,628012,Thiruvankulam (Ct),682309
32,Kerala,555,Ernakulam,5660,Kochi,628001,Kumbalangy (Ct),682008
32,Kerala,555,Ernakulam,5660,Kochi,627993,Kuzhuppilly,682501
32,Kerala,555,Ernakulam,5660,Kochi,913785,Mattancherry,682002
32,Kerala,555,Ernakulam,5663,Kothamangalam,628045,Kedavoor,686671
32,Kerala,555,Ernakulam,5663,Kothamangalam,645601,Kothamangalam (Og) (Part),686691
32,Kerala,555,Ernakulam,5663,Kothamangalam,628040,Pindimana,686692
32,Kerala,555,Ernakulam,5657,Kunnathunad,627957,Chelamattom (Ct),683550
32,Kerala,555,Ernakulam,5657,Kunnathunad,627948,Irapuram,683541
32,Kerala,555,Ernakulam,5657,Kunnathunad,627951,Kizhakkambalam,683562
32,Kerala,555,Ernakulam,5657,Kunnathunad,627955,Thiruvaniyoor,682308
32,Kerala,555,Ernakulam,5657,Kunnathunad,627943,Vengoor,683546
32,Kerala,555,Ernakulam,5657,Kunnathunad,627944,Vengoor West,683546
32,Kerala,555,Ernakulam,5662,Muvattupuzha,628030,Maneed,686664
32,Kerala,555,Ernakulam,5662,Muvattupuzha,628033,Thirumarady,686662
32,Kerala,555,Ernakulam,5659,Paravur,627981,Kunnukara,683578
32,Kerala,556,Idukki,5664,Devikulam,628057,Anaviratty,685561
32,Kerala,556,Idukki,5664,Devikulam,628054,Kannan Devan Hills,685616
32,Kerala,556,Idukki,5664,Devikulam,628051,Kanthalloor,685620
32,Kerala,556,Idukki,5664,Devikulam,628050,Keezhanthoor,685620
32,Kerala,556,Idukki,5664,Devikulam,628059,Kunjithanny,685563
32,Kerala,556,Idukki,5664,Devikulam,628055,Mankulam,685565
32,Kerala,556,Idukki,5664,Devikulam,628056,Mannamkandam,685561
32,Kerala,556,Idukki,5664,Devikulam,628049,Marayoor,685614
32,Kerala,556,Idukki,5942,Idukki,916080,Kanchiyar,685511
32,Kerala,556,Idukki,5942,Idukki,628087,Kanjikuzhi,685606
32,Kerala,556,Idukki,5667,Peerumade,628105,Elappara,685501
32,Kerala,556,Idukki,5666,Thodupuzha,628085,Kodikulam,685582
32,Kerala,556,Idukki,5666,Thodupuzha,628098,Velliyamattom,685588
32,Kerala,556,Idukki,5665,Udumbanchola,628064,Chinnakanal,685618
32,Kerala,556,Idukki,5665,Udumbanchola,628065,Poopara,685613
32,Kerala,557,Kannur,5937,Iritty,627204,Kalliad,670593
32,Kerala,557,Kannur,5937,Iritty,913285,Kolari,670702
32,Kerala,557,Kannur,5937,Iritty,627260,Manathana,670673
32,Kerala,557,Kannur,5937,Iritty,627203,Padiyoor,670703
32,Kerala,557,Kannur,5937,Iritty,913286,Pazhassi,670702
32,Kerala,557,Kannur,5633,Kannur,627243,Iriveri (Ct),670613
32,Kerala,557,Kannur,5633,Kannur,627229,Kalliasseri (Ct),670301
32,Kerala,557,Kannur,5633,Kannur,910353,Makreri - Ct,670622
32,Kerala,557,Kannur,5633,Kannur,627249,Muzhappilangad (Ct),670662
32,Kerala,557,Kannur,6599,Payyannur,627209,Karivellur (Ct),670521
32,Kerala,557,Kannur,6599,Payyannur,627187,Vayakkara,670511
32,Kerala,557,Kannur,6599,Payyannur,913287,Vellur,670307
32,Kerala,557,Kannur,5632,Taliparamba,627208,Kayaralam,670602
32,Kerala,557,Kannur,5632,Taliparamba,627211,Kurumathur (Ct),670142
32,Kerala,557,Kannur,5632,Taliparamba,627192,New Naduvil,670571
32,Kerala,557,Kannur,5632,Taliparamba,627194,Panniyoor,670142
32,Kerala,557,Kannur,5634,Thalassery,627283,Eranholi (Ct),670107
32,Kerala,557,Kannur,5634,Thalassery,627277,Kandamkunnu (Ct),670643
32,Kerala,557,Kannur,5634,Thalassery,627273,Keezhallur (Ct),670595
32,Kerala,557,Kannur,5634,Thalassery,627287,Kolavelloor (Ct),670693
32,Kerala,557,Kannur,5634,Thalassery,627286,Mokeri (Ct),670694
32,Kerala,557,Kannur,5634,Thalassery,913032,Thalassery,670105
32,Kerala,557,Kannur,5634,Thalassery,627263,Tholambra,670673
32,Kerala,558,Kasaragod,5631,Hosdurg,627153,Ambalathara,671531
32,Kerala,558,Kasaragod,5631,Hosdurg,627158,Cheemeni,671313
32,Kerala,558,Kasaragod,5631,Hosdurg,627176,Cheruvathur (Og),671313
32,Kerala,558,Kasaragod,5631,Hosdurg,627173,North Thrikkaripur (Ct),671310
32,Kerala,558,Kasaragod,5631,Hosdurg,627136,Pallikkara II,671316
32,Kerala,558,Kasaragod,5631,Hosdurg,627139,Periya,671320
32,Kerala,558,Kasaragod,5630,Kasaragod,913022,Adkath Bail,671124
32,Kerala,558,Kasaragod,5630,Kasaragod,627113,Kolathur,671541
32,Kerala,558,Kasaragod,5630,Kasaragod,627115,Munnad,671541
32,Kerala,558,Kasaragod,5630,Kasaragod,627105,Nekraje,671543
32,Kerala,558,Kasaragod,5630,Kasaragod,627089,Nirchal,671321
32,Kerala,558,Kasaragod,5932,Manjeswaram,627085,Enmakaje,671552
32,Kerala,558,Kasaragod,5932,Manjeswaram,627123,Hosabettu (Ct),671323
32,Kerala,558,Kasaragod,5932,Manjeswaram,627068,Majibail,671323
32,Kerala,558,Kasaragod,5932,Manjeswaram,627078,Paivalike,671348
32,Kerala,558,Kasaragod,5933,Vellarikkundu,627141,Belur,671531
32,Kerala,558,Kasaragod,5933,Vellarikkundu,627149,Chittarikkal,671326
32,Kerala,559,Kollam,5684,Karunagappally,628365,Adinad (Ct),690542
32,Kerala,559,Kollam,5684,Karunagappally,628357,Alappad,690573
32,Kerala,559,Kollam,5684,Karunagappally,628364,Kulasekharapuram (Ct),690523
32,Kerala,559,Kollam,5684,Karunagappally,628362,Thekkumbhagom,691584
32,Kerala,559,Kollam,5684,Karunagappally,628361,Thevalakkara,690524
32,Kerala,559,Kollam,5684,Karunagappally,628370,Vadakkumthala (Ct),690536
32,Kerala,559,Kollam,5688,Kollam,628447,Adichanalloor (Ct),691573
32,Kerala,559,Kollam,5688,Kollam,628436,Paravoor (Part),691301
32,Kerala,559,Kollam,5688,Kollam,916072,Perayam,691005
32,Kerala,559,Kollam,5688,Kollam,913832,Sakthikulangara,691581
32,Kerala,559,Kollam,5688,Kollam,628439,Thrikkaruva (Ct),691602
32,Kerala,559,Kollam,5687,Kottarakkara,628428,Mancode,691559
32,Kerala,559,Kollam,5687,Kottarakkara,628426,Nilamel,691535
32,Kerala,559,Kollam,5687,Kottarakkara,628417,Valakam,691532
32,Kerala,559,Kollam,5685,Kunnathur,628375,Sooranad North,690561
32,Kerala,559,Kollam,5686,Pathanapuram,628382,Pattazhy Vadakkekara,691522
32,Kerala,559,Kollam,5947,Punalur,628391,Edamon,691307
32,Kerala,560,Kottayam,5671,Changanassery,628183,Changanassery (Part),686102
32,Kerala,560,Kottayam,5671,Changanassery,628191,Chethipuzha (Ct),686104
32,Kerala,560,Kottayam,5671,Changanassery,628186,Karukachal,686540
32,Kerala,560,Kottayam,5671,Changanassery,628181,Kurichy,686532
32,Kerala,560,Kottayam,5671,Changanassery,628192,Thrikkodithanam (Ct),686105
32,Kerala,560,Kottayam,5672,Kanjirappally,628200,Chirakkadavu,686506
32,Kerala,560,Kottayam,5672,Kanjirappally,628197,Kanjirappally,686507
32,Kerala,560,Kottayam,5672,Kanjirappally,628194,Koottickal,686514
32,Kerala,560,Kottayam,5670,Kottayam,628155,Arpookara,686008
32,Kerala,560,Kottayam,5670,Kottayam,628172,Athirampuzha (Ct),686561
32,Kerala,560,Kottayam,5670,Kottayam,628176,Chengalam West,686022
32,Kerala,560,Kottayam,5670,Kottayam,628163,Kooroppada,686502
32,Kerala,560,Kottayam,5670,Kottayam,628168,Veloor (Part),686003
32,Kerala,560,Kottayam,5668,Meenachil,628135,Kondoor,686123
32,Kerala,560,Kottayam,5668,Meenachil,628119,Melukavu,686652
32,Kerala,560,Kottayam,5668,Meenachil,628134,Poovarany,686577
32,Kerala,560,Kottayam,5668,Meenachil,628117,Ramapuram,686576
32,Kerala,560,Kottayam,5668,Meenachil,628121,Thalanadu,686580
32,Kerala,560,Kottayam,5669,Vaikom,628143,Kaduthuruthy,686613
32,Kerala,561,Kozhikode,5639,Koyilandi,627397,Balusseri (Ct),673612
32,Kerala,561,Kozhikode,5639,Koyilandi,627372,Chakkittapara,673528
32,Kerala,561,Kozhikode,5639,Koyilandi,627368,Cheruvannur,673524
32,Kerala,561,Kozhikode,5639,Koyilandi,627387,Eravattur (Ct),673525
32,Kerala,561,Kozhikode,5639,Koyilandi,627386,Iringal (Ct),673521
32,Kerala,561,Kozhikode,5639,Koyilandi,627374,Nochad,673614
32,Kerala,561,Kozhikode,5639,Koyilandi,627369,Palery,673508
32,Kerala,561,Kozhikode,5639,Koyilandi,627367,Payyoli,673522
32,Kerala,561,Kozhikode,5640,Kozhikode,627422,Chelannur (Ct),673616
32,Kerala,561,Kozhikode,5640,Kozhikode,913303,Chelavur,673008
