stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
7,Delhi,78,East,441,Preet Vihar,63984,Shamas Pur,110093
7,Delhi,79,New Delhi,453,Vasant Vihar,64059,Kapas Hera (Ct),110097
7,Delhi,80,North,6076,Alipur,63897,Hiranki,110036
7,Delhi,80,North,6076,Alipur,63898,Mohd. Pur Ramzan Pur,110036
7,Delhi,80,North,6076,Alipur,63911,Mukhmel Pur (Ct),110036
7,Delhi,80,North,6076,Alipur,63913,Qadi Pur (Ct),110036
7,Delhi,80,North,6076,Alipur,63917,Sahibabad Daulat Pur (Ct),110042
7,Delhi,80,North,6076,Alipur,63868,Singhu,110040
7,Delhi,80,North,6076,Alipur,63871,Taj Pur Kalan,110036
7,Delhi,80,North,6076,Alipur,63878,Tigi Pur,110036
7,Delhi,80,North,432,Model Town,63949,Shanjar Pur(Un-Inhabited),110084
7,Delhi,80,North,430,Narela,63920,Barwala (Ct),110039
7,Delhi,80,North,430,Narela,63890,Bazid Pur Thakran,110039
7,Delhi,80,North,430,Narela,63923,Darya Pur Kalan (Ct),110039
7,Delhi,80,North,430,Narela,63867,Mamoor Pur,110036
7,Delhi,81,North East,6083,Karawal Nagar,63965,Bihari Pur,110090
7,Delhi,81,North East,6083,Karawal Nagar,63960,Pur Delhi,110090
7,Delhi,81,North East,436,Seelam Pur,63976,Khajoori Khas (Ct),110093
7,Delhi,81,North East,436,Seelam Pur,63974,Khan Pur Dhani (Ct),110093
7,Delhi,81,North East,6082,Yamuna Vihar,63979,Gokal Pur (Ct),110094
7,Delhi,81,North East,6082,Yamuna Vihar,63973,Mustafabad (Ct),110094
7,Delhi,82,North West,6078,Kanjhawala,63932,Chatesar,110081
7,Delhi,82,North West,6078,Kanjhawala,63939,Gheora (Ct),110081
7,Delhi,82,North West,6078,Kanjhawala,63925,Jat Khor,110081
7,Delhi,82,North West,6077,Rohini,63941,Mubarak Pur Dabas (Ct),110081
7,Delhi,82,North West,6077,Rohini,63948,Sultan Pur Majra (Ct),110086
7,Delhi,83,South,454,Hauz Khas,64076,Deoli (Ct),110080
7,Delhi,83,South,6080,Mehrauli,64072,Sultan Pur (Ct),110030
7,Delhi,83,South,6079,Saket,64069,Bhati (Ct),110074
7,Delhi,83,South,6079,Saket,64077,Neb Sarai (Ct),110068
7,Delhi,670,South East,455,Defence Colony,64080,Saidabad (Ct),110024
7,Delhi,670,South East,6081,Sarita Vihar,64081,Kotla Mahigiran (Ct),110025
7,Delhi,670,South East,6081,Sarita Vihar,64083,Taj Pul (Ct),110044
7,Delhi,84,South West,6085,Kapeshera,64035,Asalat Pur Khawad,110043
7,Delhi,84,South West,6085,Kapeshera,64044,Deorala,110073
7,Delhi,84,South West,6085,Kapeshera,64011,Goela Khurd,110071
7,Delhi,84,South West,6085,Kapeshera,64037,Jain Pur(Un-Inhabited),110073
7,Delhi,84,South West,6085,Kapeshera,64010,Paprawat,110043
7,Delhi,84,South West,6085,Kapeshera,64043,Raota,110043
7,Delhi,84,South West,451,Najafgarh,64042,Ghalib Pur,110073
7,Delhi,84,South West,451,Najafgarh,64039,Jhuljhuli,110073
7,Delhi,84,South West,451,Najafgarh,64009,Kharkhari Nahar,110043
7,Delhi,84,South West,451,Najafgarh,64050,Khera (Ct),110073
7,Delhi,84,South West,451,Najafgarh,64018,Samas Pur Khalsa,110073
7,Delhi,84,South West,451,Najafgarh,64048,Ujwa (Ct),110073
7,Delhi,85,West,448,Patel Nagar,63992,Raja Pur Khurd (Ct),110043
7,Delhi,85,West,450,Punjabi Bagh,63993,Neel Wal,110041
7,Delhi,77,Central,433,Civil Lines,63952,Badar Pur Majra Burari,110084
7,Delhi,77,Central,433,Civil Lines,63957,Burari (Ct),110084
7,Delhi,77,Central,433,Civil Lines,63954,Jagat Pur Ilaqa Delhi,110084
7,Delhi,79,New Delhi,453,Vasant Vihar,64061,Ghitorni (Ct),110030
7,Delhi,80,North,6076,Alipur,63908,Bakhtawar Pur (Ct),110036
7,Delhi,80,North,6076,Alipur,63909,Bankauli (Ct),110085
7,Delhi,80,North,6076,Alipur,63879,Fateh Pur Jat,110036
7,Delhi,80,North,6076,Alipur,63876,Sunger Pur Shahdara (Un-Inhabited),110036
7,Delhi,80,North,6076,Alipur,63896,Zind Pur,110036
7,Delhi,80,North,430,Narela,63905,Bankner (Ct),110040
7,Delhi,80,North,430,Narela,63893,Iradat Nagar Alias Naya Bans,110082
7,Delhi,80,North,430,Narela,63866,Lam Pur,110040
7,Delhi,80,North,430,Narela,63888,Mungesh Pur,110039
7,Delhi,80,North,430,Narela,63891,Nangal Thakran,110039
7,Delhi,80,North,430,Narela,63918,Pehlad Pur Bangar (Ct),110042
7,Delhi,80,North,430,Narela,63881,Shah Pur Garhi,110036
7,Delhi,80,North,430,Narela,63907,Tikri Khurd (Ct),110040
7,Delhi,81,North East,436,Seelam Pur,63966,Sher Pur,110094
7,Delhi,81,North East,436,Seelam Pur,63975,Tukhmir Pur (Ct),110094
7,Delhi,81,North East,6082,Yamuna Vihar,63978,Ziauddin Pur (Ct),110094
7,Delhi,82,North West,6078,Kanjhawala,63927,Budhan Pur,110081
7,Delhi,82,North West,6078,Kanjhawala,63945,Karala (Ct),110081
7,Delhi,82,North West,6078,Kanjhawala,63935,Nizam Pur Rashid Pur,110081
7,Delhi,82,North West,6078,Kanjhawala,63924,Punjab Khor,110081
7,Delhi,671,Shahdara,438,Seema Puri,63982,Mandoli (Ct),110093
7,Delhi,83,South,454,Hauz Khas,64078,Saidul Azaib (Ct),110030
7,Delhi,83,South,6079,Saket,64073,Chattar Pur (Ct),110074
7,Delhi,83,South,6079,Saket,64064,Shahur Pur,110074
7,Delhi,83,South,6079,Saket,64079,Tigri (Ct),110080
7,Delhi,670,South East,6081,Sarita Vihar,64086,Aali (Ct),110076
7,Delhi,84,South West,6085,Kapeshera,64023,Darya Pur Khurd,110073
7,Delhi,84,South West,6085,Kapeshera,64027,Daulat Pur,110043
7,Delhi,84,South West,6085,Kapeshera,64034,Jhatikra,110043
7,Delhi,84,South West,6085,Kapeshera,64016,Kharkhari Jatmal,110043
7,Delhi,84,South West,6085,Kapeshera,64036,Shikar Pur,110043
7,Delhi,84,South West,451,Najafgarh,64047,Jaffar Pur Kalan (Ct),110073
7,Delhi,84,South West,451,Najafgarh,64045,Jharoda Kalan (Ct),110072
7,Delhi,84,South West,451,Najafgarh,64049,Mitraon (Ct),110043
7,Delhi,84,South West,451,Najafgarh,64021,Qazi Pur,110073
7,Delhi,84,South West,451,Najafgarh,64012,Qutab Pur,110071
7,Delhi,84,South West,451,Najafgarh,64024,Sher Pur Deri,110073
7,Delhi,84,South West,451,Najafgarh,64008,Surera,110043
7,Delhi,85,West,450,Punjabi Bagh,63994,Jaffar Pur Alias Hiran Kudna,110041
7,Delhi,85,West,450,Punjabi Bagh,64003,Tikri Kalan (Ct),110041
7,Delhi,77,Central,433,Civil Lines,63956,Kamal Pur Majra Burari (Ct),110084
7,Delhi,77,Central,433,Civil Lines,63951,Salem Pur Majra Burari,110084
7,Delhi,78,East,6084,Mayur Vihar,63986,Gharoli (Ct),110096
7,Delhi,79,New Delhi,453,Vasant Vihar,64058,Sambhalka (Ct),110097
7,Delhi,80,North,6076,Alipur,63902,Bodh Pur Bija Pur,110040
7,Delhi,80,North,6076,Alipur,63870,Hamid Pur,110036
7,Delhi,80,North,6076,Alipur,63880,Kham Pur,110036
7,Delhi,80,North,6076,Alipur,63914,Libas Pur (Ct),110042
