stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
1,Jammu And Kashmir,8,Kupwara,2,Handwara,151,Cher Mandi,193221
1,Jammu And Kashmir,8,Kupwara,2,Handwara,936641,Kachwari,193101
1,Jammu And Kashmir,8,Kupwara,2,Handwara,168,Kandi Khass,193221
1,Jammu And Kashmir,8,Kupwara,2,Handwara,208,Kargam,193302
1,Jammu And Kashmir,8,Kupwara,2,Handwara,936638,Khanbal,193101
1,Jammu And Kashmir,8,Kupwara,2,Handwara,155,Magam,193221
1,Jammu And Kashmir,8,Kupwara,2,Handwara,313,Pal Pora,193302
1,Jammu And Kashmir,8,Kupwara,2,Handwara,230,Siraj Pora,193303
1,Jammu And Kashmir,8,Kupwara,2,Handwara,171,Vodh Pora,193221
1,Jammu And Kashmir,8,Kupwara,3,Karnah,359,Amroohi,193225
1,Jammu And Kashmir,8,Kupwara,3,Karnah,346,Chamkote,193225
1,Jammu And Kashmir,8,Kupwara,3,Karnah,355,Chanipora Payen,193225
1,Jammu And Kashmir,8,Kupwara,3,Karnah,334,Dildar,193225
1,Jammu And Kashmir,8,Kupwara,3,Karnah,350,Dringla,193225
1,Jammu And Kashmir,8,Kupwara,3,Karnah,922904,Gundi Gojran,193225
1,Jammu And Kashmir,8,Kupwara,3,Karnah,366,Jabdi.,193225
1,Jammu And Kashmir,8,Kupwara,3,Karnah,361,Sudhpora,193225
1,Jammu And Kashmir,8,Kupwara,6782,Keran,3,Bogna,193224
1,Jammu And Kashmir,8,Kupwara,6783,Kralpora,78,Dard Hari Khar Gund,193224
1,Jammu And Kashmir,8,Kupwara,6783,Kralpora,75,Dardsun Reshigund,193224
1,Jammu And Kashmir,8,Kupwara,6783,Kralpora,81,Melyal,193224
1,Jammu And Kashmir,8,Kupwara,6783,Kralpora,85,Rawath Pora,193224
1,Jammu And Kashmir,8,Kupwara,6783,Kralpora,77,Warsun,193224
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,924954,Dudwan,193222
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,936633,Gundsanah Haihama,193222
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,936635,Madmadow Kalarooch,193222
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,115,Nagri Malpora,193222
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,106,Ogbal,193222
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,107,Pazi Pora,193222
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,936632,Qasba Haihama,193222
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,57,Tikker,193222
1,Jammu And Kashmir,8,Kupwara,1,Kupwara,936631,Warapora,193222
1,Jammu And Kashmir,8,Kupwara,6792,Lalpora,36,Charligund,193223
1,Jammu And Kashmir,8,Kupwara,6792,Lalpora,21,Maidan Pora,193223
1,Jammu And Kashmir,8,Kupwara,6792,Lalpora,25,Rednagh,193223
1,Jammu And Kashmir,8,Kupwara,6792,Lalpora,17,Siver Thandipora,193223
1,Jammu And Kashmir,8,Kupwara,6789,Langate,180,Guloora,193302
1,Jammu And Kashmir,8,Kupwara,6789,Langate,293,Hangah,193302
1,Jammu And Kashmir,8,Kupwara,6789,Langate,211,Shartgund Payeen,193302
1,Jammu And Kashmir,8,Kupwara,6789,Langate,192,Ujroo,193302
1,Jammu And Kashmir,8,Kupwara,6791,Lolab (Sogam),35,Chandigam,193223
1,Jammu And Kashmir,8,Kupwara,6791,Lolab (Sogam),27,Muqam Shareefdar,193223
1,Jammu And Kashmir,8,Kupwara,6791,Lolab (Sogam),936652,Rakh Gund Mancher,193223
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,271,Banday,193302
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,278,Darbal Payeen,193302
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,274,Dudkul,193302
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,277,Gund Razak,193302
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,289,Lach,193302
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,265,Mawar,193302
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,269,Monabal,193302
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,275,Sheikh Pora,193302
1,Jammu And Kashmir,8,Kupwara,7205,Qalamabad,273,Shilthara,193302
1,Jammu And Kashmir,8,Kupwara,6788,Qaziabad (Kralgund),300,Ananwan,193302
1,Jammu And Kashmir,8,Kupwara,6788,Qaziabad (Kralgund),304,Gund Chubutra,193302
1,Jammu And Kashmir,8,Kupwara,6788,Qaziabad (Kralgund),303,Kral Gund,193302
1,Jammu And Kashmir,8,Kupwara,6788,Qaziabad (Kralgund),198,Nehama,193302
1,Jammu And Kashmir,8,Kupwara,6788,Qaziabad (Kralgund),317,Wangam,193302
1,Jammu And Kashmir,8,Kupwara,6787,Ramhal (Tarathpora),142,Tumina,193224
1,Jammu And Kashmir,8,Kupwara,6784,Trehgam,98,Hanji Pora,193224
1,Jammu And Kashmir,8,Kupwara,6784,Trehgam,69,Laderwan,193224
1,Jammu And Kashmir,8,Kupwara,6784,Trehgam,68,Marhama,193224
1,Jammu And Kashmir,8,Kupwara,7206,Villgam,131,Banger Gund,193224
1,Jammu And Kashmir,8,Kupwara,7206,Villgam,144,Cher Kote,193224
1,Jammu And Kashmir,8,Kupwara,7206,Villgam,252,Waisa Kawnar,193224
1,Jammu And Kashmir,8,Kupwara,6790,Zachaldara,236,Bowanwatsar,193221
1,Jammu And Kashmir,8,Kupwara,6790,Zachaldara,255,Lacham Pora,193221
1,Jammu And Kashmir,8,Kupwara,6790,Zachaldara,237,Laribal,193221
1,Jammu And Kashmir,8,Kupwara,6790,Zachaldara,241,Rajpora,193221
1,Jammu And Kashmir,8,Kupwara,6790,Zachaldara,258,Satkoji,193221
1,Jammu And Kashmir,8,Kupwara,6790,Zachaldara,261,Waddar Payeen,193221
1,Jammu And Kashmir,10,Poonch,16,Haveli,1127,Bhainch,185101
1,Jammu And Kashmir,10,Poonch,16,Haveli,1109,Danadoyian,185121
1,Jammu And Kashmir,10,Poonch,16,Haveli,1096,Degwar Terwan,185101
1,Jammu And Kashmir,10,Poonch,16,Haveli,1118,Dharamsal Khari,185101
1,Jammu And Kashmir,10,Poonch,16,Haveli,1113,Dingla,185101
1,Jammu And Kashmir,10,Poonch,16,Haveli,1129,Kalai,185101
1,Jammu And Kashmir,10,Poonch,16,Haveli,1101,Kosalian,185121
1,Jammu And Kashmir,10,Poonch,16,Haveli,1138,Shiendara,185101
1,Jammu And Kashmir,10,Poonch,17,Mandi,1152,Atoli,185102
1,Jammu And Kashmir,10,Poonch,17,Mandi,1155,Bandi Kama Khan,185102
1,Jammu And Kashmir,10,Poonch,17,Mandi,1176,Dhara,185102
1,Jammu And Kashmir,10,Poonch,17,Mandi,1172,Fatehpur,185102
1,Jammu And Kashmir,10,Poonch,17,Mandi,1149,Markote,185102
1,Jammu And Kashmir,10,Poonch,17,Mandi,1160,Sathra,185102
1,Jammu And Kashmir,10,Poonch,6779,Mankote,1197,Chhajla,185211
1,Jammu And Kashmir,10,Poonch,18,Mendhar,1211,Jaranwali Gali,185211
1,Jammu And Kashmir,10,Poonch,18,Mendhar,1193,Jugal,185211
