stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
37,Ladakh,6,Kargil,6191,Drass,1000,Bhimbat,194102
37,Ladakh,6,Kargil,6191,Drass,1008,Pandrass,194102
37,Ladakh,6,Kargil,6191,Drass,1005,Rambirpur (Drass),194102
37,Ladakh,6,Kargil,6191,Drass,997,Thasgam,194103
37,Ladakh,6,Kargil,13,Kargil,974,Hardass,194103
37,Ladakh,6,Kargil,13,Kargil,977,Kaksar,194103
37,Ladakh,6,Kargil,13,Kargil,976,Karkit,194103
37,Ladakh,6,Kargil,13,Kargil,968,Yourbaltak,194103
37,Ladakh,6,Kargil,14,Sankoo,1046,Itcho,194301
37,Ladakh,6,Kargil,14,Sankoo,1039,Sangrah,194301
37,Ladakh,6,Kargil,14,Sankoo,1045,Shargandi,194301
37,Ladakh,6,Kargil,6192,Shakar Chiktan,1026,Haniskote,194109
37,Ladakh,6,Kargil,7305,Shergole,1018,Karamba,194109
37,Ladakh,6,Kargil,7305,Shergole,1017,Khachey,194109
37,Ladakh,6,Kargil,7305,Shergole,1020,Mulbekh,194109
37,Ladakh,6,Kargil,7305,Shergole,1016,Tingdoo,194109
37,Ladakh,6,Kargil,7306,Taisuru,1061,Khochik,194303
37,Ladakh,6,Kargil,7306,Taisuru,1055,Panikhar,194303
37,Ladakh,6,Kargil,7306,Taisuru,1053,Printee,194303
37,Ladakh,6,Kargil,7306,Taisuru,1051,Youljok,194303
37,Ladakh,6,Kargil,15,Zanskar,1069,Ating,194302
37,Ladakh,6,Kargil,15,Zanskar,1066,Hemiling,194302
37,Ladakh,6,Kargil,15,Zanskar,1075,Padum,194302
37,Ladakh,6,Kargil,15,Zanskar,1080,Zangla,194302
37,Ladakh,9,Leh Ladakh,7231,Diskit,936,Digger,194401
37,Ladakh,9,Leh Ladakh,7231,Diskit,920,Hunderi,194401
37,Ladakh,9,Leh Ladakh,7231,Diskit,935,Khardong,194401
37,Ladakh,9,Leh Ladakh,7231,Diskit,937,Khema Khungru,194401
37,Ladakh,9,Leh Ladakh,7231,Diskit,926,Partapur,194401
37,Ladakh,9,Leh Ladakh,7158,Durbuk,873,Durbuk,194101
37,Ladakh,9,Leh Ladakh,12,Khaltsi,944,Damkhar,194106
37,Ladakh,9,Leh Ladakh,12,Khaltsi,948,Khaltse,194106
37,Ladakh,9,Leh Ladakh,12,Khaltsi,945,Leido,194106
