stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
22,Chhattisgarh,382,Kabeerdham,3298,Kawardha,931424,Nawagaon Ko,491995
22,Chhattisgarh,647,Mungeli,3290,Lormi,929019,Manjoorha,495115
22,Chhattisgarh,637,Narayanpur,3367,Narayanpur,908116,Pakhur,494661
22,Chhattisgarh,637,Narayanpur,3368,Orchha,928060,Ader,494661
22,Chhattisgarh,637,Narayanpur,3368,Orchha,928038,Marsulnapa,494661
22,Chhattisgarh,381,Uttar Bastar Kanker,3354,Pakhanjur,912275,Junwani,494337
22,Chhattisgarh,381,Uttar Bastar Kanker,3354,Pakhanjur,448414,Kehlabeda,494665
22,Chhattisgarh,381,Uttar Bastar Kanker,3354,Pakhanjur,912277,Madpakhanjur,494777
22,Chhattisgarh,381,Uttar Bastar Kanker,3354,Pakhanjur,912253,Manjhikurupbodi,494777
22,Chhattisgarh,381,Uttar Bastar Kanker,3354,Pakhanjur,912255,Markanar,494777
22,Chhattisgarh,388,Rajnandgaon,3304,Dongargarh,930760,Chhirpani,491441
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437435,Barwasan,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437461,Bijarwar,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437475,Dewargaon,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437489,Dhangawan,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437510,Gandhipur,495119
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437450,Kanhari,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437456,Karngara,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437448,Khamali Khurd,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437501,Kotmi Khurd,495119
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437502,Lamna,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437485,Madana,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437436,Meduka,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437454,Newsa,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437476,Pakaria,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437428,Pipariya,495119
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437488,Sadhwani,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,3287,Pendra Road,437487,Sarbahra,495117
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,7252,Sakola,437641,Bendarchuwan,495119
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,7252,Sakola,437615,Damdam,495119
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,7252,Sakola,437628,Ghaghra,495119
22,Chhattisgarh,734,Gaurela-Pendra-Marwahi,7252,Sakola,437639,Khardi,495119
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436626,Amartal,495668
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436604,Ameri,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436659,Bhaisatara(Ma.Gu.),495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436585,Changori,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436639,Deori,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436658,Hardi,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436663,Karhidih,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436601,Katghari,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436643,Khatola,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436605,Kotmi Sonar,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436596,Madhuwa,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436641,Mahmadpur,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436646,Padariya,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436647,Parsahi (Bana),495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436602,Parsahi(Nala),495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436617,Rogda,495668
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436593,Sankar,495552
22,Chhattisgarh,379,Janjgir-Champa,3278,Akaltara,436656,Saraipali,495552
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436683,Bagdabri,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436675,Bhilai,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436733,Dongipendri F.V.,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436722,Ghathadehi,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436714,Jarwe,495669
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436713,Jawalpur,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436699,Kandara,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436695,Khari,495669
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436681,Madhaipur,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436680,Nawgawan,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436718,Orai Khurd,495669
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436686,Panora,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436721,Parsada,495553
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436730,Rainpur,495559
22,Chhattisgarh,379,Janjgir-Champa,3279,Baloda,436709,Rasauta,495559
22,Chhattisgarh,379,Janjgir-Champa,7265,Bamhnidih,436877,Bansula,495660
22,Chhattisgarh,379,Janjgir-Champa,7265,Bamhnidih,436873,Barkut,495660
22,Chhattisgarh,379,Janjgir-Champa,7265,Bamhnidih,436871,Govinda,495660
22,Chhattisgarh,379,Janjgir-Champa,7265,Bamhnidih,436886,Mauhadih,495660
22,Chhattisgarh,379,Janjgir-Champa,7265,Bamhnidih,436843,Piparda,495660
22,Chhattisgarh,379,Janjgir-Champa,7265,Bamhnidih,436882,Taldeori,495661
22,Chhattisgarh,379,Janjgir-Champa,3281,Champa,956173,Barpali,495671
22,Chhattisgarh,379,Janjgir-Champa,3281,Champa,436813,Kosmanda,495671
22,Chhattisgarh,379,Janjgir-Champa,3281,Champa,436811,Seoni,495669
22,Chhattisgarh,379,Janjgir-Champa,3281,Champa,436806,Uchbhatti,495671
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436550,Akaltari,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436574,Banari,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436537,Basantpur,495671
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436580,Bhadesar,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436555,Bhaisda,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436576,Dharashiv,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436573,Hathitikra,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,956206,Janjgir,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436552,Kewa,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436538,Lachhanpur,495669
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436558,Pacheda,495668
22,Chhattisgarh,379,Janjgir-Champa,3277,Janjgir,436582,Sewai,495668
22,Chhattisgarh,379,Janjgir-Champa,3280,Nawagarh,436749,Dahida,495668
22,Chhattisgarh,379,Janjgir-Champa,3280,Nawagarh,436738,Darri,495668
22,Chhattisgarh,379,Janjgir-Champa,3280,Nawagarh,436746,Dindoldih,495557
22,Chhattisgarh,379,Janjgir-Champa,3280,Nawagarh,436760,Kutrabod,495668
22,Chhattisgarh,379,Janjgir-Champa,3280,Nawagarh,436788,Patharra,495557
22,Chhattisgarh,379,Janjgir-Champa,3280,Nawagarh,436761,Pondi,495556
22,Chhattisgarh,379,Janjgir-Champa,3280,Nawagarh,436755,Siud,495668
