stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
28,Andhra Pradesh,753,Annamayya,5239,Rayachoti,593538,Indukurupalle,516269
28,Andhra Pradesh,753,Annamayya,5239,Rayachoti,930464,Kasbagollapalle,516269
28,Andhra Pradesh,753,Annamayya,5239,Rayachoti,593534,Peddakalvapalle,516269
28,Andhra Pradesh,753,Annamayya,5239,Rayachoti,593539,Syamalavaripalle,516269
28,Andhra Pradesh,753,Annamayya,5239,Rayachoti,593532,Yandapalle,516269
28,Andhra Pradesh,753,Annamayya,5237,Sambepalle,593502,Narayanareddipalle,516215
28,Andhra Pradesh,753,Annamayya,5237,Sambepalle,593507,Sambepalle,516215
28,Andhra Pradesh,753,Annamayya,5394,Sodam,596171,Booragamanda,517123
28,Andhra Pradesh,753,Annamayya,5394,Sodam,596162,Palamanda,517123
28,Andhra Pradesh,753,Annamayya,5394,Sodam,596160,Vootupalle,517123
28,Andhra Pradesh,753,Annamayya,5412,Somala,596507,Nanjampeta @ Chandambylu,517257
28,Andhra Pradesh,753,Annamayya,5412,Somala,596509,Peddauppara Palle,517257
28,Andhra Pradesh,753,Annamayya,5368,Thamballapalle,595621,Diguvapalem,517418
28,Andhra Pradesh,753,Annamayya,5368,Thamballapalle,595627,Kosuvaripalle,517418
28,Andhra Pradesh,753,Annamayya,5368,Thamballapalle,595617,Kotala,517418
28,Andhra Pradesh,753,Annamayya,5368,Thamballapalle,595620,Kotlapalle,517418
28,Andhra Pradesh,753,Annamayya,5368,Thamballapalle,595623,Thamballapalle,517418
28,Andhra Pradesh,753,Annamayya,5368,Thamballapalle,595616,Zunjurupenta,517418
28,Andhra Pradesh,753,Annamayya,5388,Valmikipuram,596089,Aramadaka,517299
28,Andhra Pradesh,753,Annamayya,5388,Valmikipuram,596080,Budidavedu,517299
28,Andhra Pradesh,753,Annamayya,5388,Valmikipuram,596085,Jarravaripalle,517277
