stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
31,Lakshadweep,553,Lakshadweep District,5628,Kalpeni,627054,Kalpeni (Ct),682557
31,Lakshadweep,553,Lakshadweep District,5628,Kalpeni,627052,Pitti (I),682557
31,Lakshadweep,553,Lakshadweep District,5628,Kalpeni,627050,Tilakkam (Ii),682557
31,Lakshadweep,553,Lakshadweep District,5626,Agatti,627043,Bangaram,682553
31,Lakshadweep,553,Lakshadweep District,5626,Agatti,627045,Kalpitti,682553
31,Lakshadweep,553,Lakshadweep District,5628,Kalpeni,627047,Cheriyam,682557
31,Lakshadweep,553,Lakshadweep District,5625,Kavaratti,627038,Kavaratti (Ct),682555
31,Lakshadweep,553,Lakshadweep District,5625,Kavaratti,627036,Suheli Valiyakara,682555
31,Lakshadweep,553,Lakshadweep District,5626,Agatti,627042,Parali (Iii),682553
31,Lakshadweep,553,Lakshadweep District,5628,Kalpeni,627049,Tilakkam (I),682557
31,Lakshadweep,553,Lakshadweep District,5628,Kalpeni,627051,Tilakkam (Iii),682557
31,Lakshadweep,553,Lakshadweep District,5625,Kavaratti,627037,Suheli Cheriyakara,682555
31,Lakshadweep,553,Lakshadweep District,5626,Agatti,627040,Parali (I),682553
31,Lakshadweep,553,Lakshadweep District,5626,Agatti,627041,Parali (Ii),682553
31,Lakshadweep,553,Lakshadweep District,5620,Amini,627030,Amini (Ct),682552
31,Lakshadweep,553,Lakshadweep District,5627,Andrott,627046,Andrott (Ct),682551
31,Lakshadweep,553,Lakshadweep District,5628,Kalpeni,627053,Pitti (Ii),682557
31,Lakshadweep,553,Lakshadweep District,5625,Kavaratti,627035,Pitti (Birds' Island),682555
31,Lakshadweep,553,Lakshadweep District,5629,Minicoy,627055,Viringili,682559
31,Lakshadweep,553,Lakshadweep District,5626,Agatti,627044,Agatti,682553
31,Lakshadweep,553,Lakshadweep District,5626,Agatti,627039,Tinnakara,682553
31,Lakshadweep,553,Lakshadweep District,5621,Bitra,627031,Bitra,682554
31,Lakshadweep,553,Lakshadweep District,5622,Chetlat,627032,Chetlat,682554
31,Lakshadweep,553,Lakshadweep District,5624,Kadmat,627034,Kadmat (Ct),682556
31,Lakshadweep,553,Lakshadweep District,5628,Kalpeni,627048,Kodithala,682557
31,Lakshadweep,553,Lakshadweep District,5623,Kiltan,627033,Kiltan,682558
31,Lakshadweep,553,Lakshadweep District,5629,Minicoy,627056,Minicoy (Ct),682559
