stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
24,Gujarat,449,Kachchh,3731,Gandhidham,507351,Chudva,370240
24,Gujarat,449,Kachchh,3731,Gandhidham,507356,Galpadar (Ct),370240
24,Gujarat,445,Dahod,3892,Limkheda,519310,Fatepura,389146
24,Gujarat,445,Dahod,3892,Limkheda,926444,Kheriya,389146
24,Gujarat,445,Dahod,3892,Limkheda,519316,Kothara,389146
24,Gujarat,445,Dahod,3892,Limkheda,519355,Mota Hathidhara,389146
24,Gujarat,445,Dahod,3892,Limkheda,519311,Nava Vadiya,389146
24,Gujarat,445,Dahod,3892,Limkheda,519375,Padola,389146
24,Gujarat,445,Dahod,3892,Limkheda,519365,Palli,389146
24,Gujarat,445,Dahod,3892,Limkheda,519368,Parpata,389146
24,Gujarat,445,Dahod,3892,Limkheda,519384,Timba,389146
24,Gujarat,445,Dahod,3892,Limkheda,519358,Valundi,389146
24,Gujarat,445,Dahod,3892,Limkheda,519333,Zarola (Du),389146
24,Gujarat,445,Dahod,6204,Sanjeli,519178,Garadiya,389175
24,Gujarat,445,Dahod,6204,Sanjeli,519141,Jitpura,389175
24,Gujarat,445,Dahod,6204,Sanjeli,519151,Kota,389175
24,Gujarat,445,Dahod,6204,Sanjeli,519137,Lavara,389175
24,Gujarat,445,Dahod,6204,Sanjeli,519147,Moli,389175
24,Gujarat,445,Dahod,6204,Sanjeli,519164,Nariyani Muvadi,389175
24,Gujarat,445,Dahod,6204,Sanjeli,519142,Valunda,389175
24,Gujarat,445,Dahod,6204,Sanjeli,519134,Vansiya,389175
24,Gujarat,445,Dahod,6480,Singvad,519252,Bhanpur (Randhikpur),389130
24,Gujarat,445,Dahod,6480,Singvad,519258,Borgota,389130
24,Gujarat,445,Dahod,6480,Singvad,519285,Chhaparvad,389130
24,Gujarat,445,Dahod,6480,Singvad,519286,Hirapur,389130
24,Gujarat,445,Dahod,6480,Singvad,519338,Jamadra,389130
24,Gujarat,445,Dahod,6480,Singvad,519266,Jamri,389130
24,Gujarat,445,Dahod,6480,Singvad,519254,Malekpur,389130
24,Gujarat,445,Dahod,6480,Singvad,519255,Mander,389130
24,Gujarat,445,Dahod,6480,Singvad,519251,Nana Ambaliya,389130
