stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
36,Telangana,501,Adilabad,6221,Adilabad Rural,568993,Anukunta,504002
36,Telangana,501,Adilabad,6221,Adilabad Rural,569012,Hattigutta,504309
36,Telangana,501,Adilabad,6221,Adilabad Rural,568985,Landasangvi,504002
36,Telangana,501,Adilabad,6221,Adilabad Rural,569014,Maregaon,504346
36,Telangana,501,Adilabad,6221,Adilabad Rural,569008,Wanwat,504002
36,Telangana,501,Adilabad,4323,Bazarhatnoor,569647,Ananthapur,504307
36,Telangana,501,Adilabad,4323,Bazarhatnoor,569668,Mohada,504307
36,Telangana,501,Adilabad,4323,Bazarhatnoor,569639,Umerda (Buzurg),504304
36,Telangana,501,Adilabad,4308,Bela,569093,Bela,504309
36,Telangana,501,Adilabad,4308,Bela,569106,Bhadi,504309
36,Telangana,501,Adilabad,4308,Bela,569083,Datalpur,504309
36,Telangana,501,Adilabad,4308,Bela,569079,Khagdur,504309
36,Telangana,501,Adilabad,4308,Bela,569081,Koparuzana,504309
36,Telangana,501,Adilabad,4308,Bela,569080,Mangrool,504309
36,Telangana,501,Adilabad,4308,Bela,569107,Masala (Khurd),504309
36,Telangana,501,Adilabad,4308,Bela,569073,Narayanpur,504309
36,Telangana,501,Adilabad,4308,Bela,569090,Singapur,504309
36,Telangana,501,Adilabad,4308,Bela,569117,Sonkhos,504309
36,Telangana,501,Adilabad,4308,Bela,569101,Warur,504309
36,Telangana,501,Adilabad,6223,Bheempur,568961,Anderband,504312
36,Telangana,501,Adilabad,6223,Bheempur,568946,Guledi,504312
36,Telangana,501,Adilabad,6223,Bheempur,568957,Nippani,504312
36,Telangana,501,Adilabad,7529,Bhoraj,569028,Bhoraj,504309
36,Telangana,501,Adilabad,7529,Bhoraj,569025,Gimma (Khurd),504309
36,Telangana,501,Adilabad,7529,Bhoraj,569023,Kedarpur,504309
36,Telangana,501,Adilabad,7529,Bhoraj,569027,Mirzapur,504309
36,Telangana,501,Adilabad,7529,Bhoraj,569040,Savapur,504309
36,Telangana,501,Adilabad,7529,Bhoraj,569026,Sirsonna,504309
36,Telangana,501,Adilabad,4324,Boath,569705,Birlagondi,504304
36,Telangana,501,Adilabad,4324,Boath,569693,Demmi,504304
36,Telangana,501,Adilabad,4324,Boath,569675,Dera,504304
36,Telangana,501,Adilabad,4324,Boath,569696,Kuchalapur,504304
36,Telangana,501,Adilabad,4324,Boath,569703,Narayanpur,504304
36,Telangana,501,Adilabad,6225,Gadiguda,569213,Ademeyon,504311
36,Telangana,501,Adilabad,6225,Gadiguda,569216,Arjuni,504311
36,Telangana,501,Adilabad,6225,Gadiguda,569206,Dongargaon,504311
36,Telangana,501,Adilabad,6225,Gadiguda,569231,Khadki,504311
36,Telangana,501,Adilabad,6225,Gadiguda,569230,Lokari (B),504311
36,Telangana,501,Adilabad,6225,Gadiguda,569223,Maregaon,504311
36,Telangana,501,Adilabad,6225,Gadiguda,569211,Rupapur,504311
36,Telangana,501,Adilabad,4310,Gudihatnoor,569160,Dongargaon,504308
36,Telangana,501,Adilabad,4310,Gudihatnoor,569164,Gondharkapur,504308
36,Telangana,501,Adilabad,4310,Gudihatnoor,569151,Malkapur,504308
36,Telangana,501,Adilabad,4322,Ichoda,569616,Dhaba Khurd,504307
36,Telangana,501,Adilabad,4322,Ichoda,569620,Dharmapuri,504307
36,Telangana,501,Adilabad,4322,Ichoda,569632,Gundiwagu,504307
36,Telangana,501,Adilabad,4322,Ichoda,569638,Ichoda (Ct),504307
36,Telangana,501,Adilabad,4322,Ichoda,569634,Jogipet,504307
36,Telangana,501,Adilabad,4322,Ichoda,569599,Junni,504307
36,Telangana,501,Adilabad,4322,Ichoda,569630,Lingapur,504307
36,Telangana,501,Adilabad,4322,Ichoda,569618,Malyal,504307
