stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
2,Himachal Pradesh,23,Shimla,6964,Dhami,939905,D. P. F. Bahkyar,171103
2,Himachal Pradesh,23,Shimla,6964,Dhami,939902,D. P. F. Binu,171103
2,Himachal Pradesh,23,Shimla,6964,Dhami,939913,D. P. F. Dargot,171103
2,Himachal Pradesh,23,Shimla,6964,Dhami,939921,D. P. F. Jakhri Nichli Sarmana,171103
2,Himachal Pradesh,23,Shimla,6964,Dhami,939901,Jangal Bhajyar Ghat-2,171103
2,Himachal Pradesh,23,Shimla,6964,Dhami,939909,Jangal Dadyog Niharag Upkhand-2,171103
2,Himachal Pradesh,23,Shimla,6964,Dhami,939926,Jangal Panihana,171103
2,Himachal Pradesh,25,Solan,159,Darlaghat,20375,Daonru (198),171102
2,Himachal Pradesh,25,Solan,159,Darlaghat,20284,Up Mohal Jangal Bajryala,171102
2,Himachal Pradesh,25,Solan,7126,Parwanoo,939324,Parwanoo (N.A.K.),173220
2,Himachal Pradesh,18,Kangra,6902,Lagru,10835,Bharari (706),176031
2,Himachal Pradesh,18,Kangra,6902,Lagru,10834,Chori (707),176031
2,Himachal Pradesh,18,Kangra,6902,Lagru,10833,Hardip Pur (708),176031
2,Himachal Pradesh,18,Kangra,6902,Lagru,10841,Maira (698),176031
2,Himachal Pradesh,18,Kangra,6902,Lagru,10821,Mandu (632),176031
2,Himachal Pradesh,18,Kangra,6902,Lagru,10861,Reserve Jangal Gandwar (685),176031
2,Himachal Pradesh,18,Kangra,6902,Lagru,10958,Sararkar (734),176031
2,Himachal Pradesh,18,Kangra,6919,Majheen,10887,Bag (808),176092
2,Himachal Pradesh,18,Kangra,6919,Majheen,10882,Bharer (871),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,10881,Chharar (866),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,10892,Chhimkar (806),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,10896,Dabkehri (876),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,10880,Daddal (867),176030
2,Himachal Pradesh,18,Kangra,6919,Majheen,10907,Dhatehr (881),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,11037,Kasar (897),176092
2,Himachal Pradesh,18,Kangra,6919,Majheen,10910,Manera (899),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,11032,Parauntha (893),176092
2,Himachal Pradesh,18,Kangra,6919,Majheen,10894,Phaked (800),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,10877,Reserve Jungle Ghator (872),176031
2,Himachal Pradesh,18,Kangra,6919,Majheen,11036,Saoli (894),176030
2,Himachal Pradesh,18,Kangra,6919,Majheen,10893,Sarabnati (805),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,10900,Sialkar (884),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,10875,Sidhpur (798),176032
2,Himachal Pradesh,18,Kangra,6919,Majheen,10891,Taryamlu (874),176032
2,Himachal Pradesh,18,Kangra,113,Multhan,12090,Bara Bhangal (1081),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12108,Bharara (1071),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12095,Chakban Palachak (1076),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12107,Chelra-Di-Malhan (1049),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12100,Kangyor (1046),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12096,Kukargundha (1042),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12119,Multhan (1056),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12103,Nalohta (1074),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12097,Rajgundha (1043),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12098,Sapota (1044),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12089,Shahnal Dhar (1082),175013
2,Himachal Pradesh,18,Kangra,113,Multhan,12129,Thangahar (1087),175013
2,Himachal Pradesh,18,Kangra,101,Nagrota Bagwan,9960,Baagian (615),176047
2,Himachal Pradesh,18,Kangra,101,Nagrota Bagwan,9864,Behra Banjar (663),176056
2,Himachal Pradesh,18,Kangra,101,Nagrota Bagwan,9860,Bharhun (690),176056
