stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524960,Apti,396235
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524939,Bonta,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524953,Chinchpada,396240
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524990,Chinsda,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524997,Dadra (Ct),396193
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524984,Karachgam,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524996,Khedpa,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524981,Khutali,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524954,Luhari,396235
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524966,Umbervarni,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524961,Velugam,396230
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,524928,Bhimpore (Ct),396210
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,524929,Dunetha (Ct),396210
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,923609,Kathiria,396210
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,912997,Patlara,396220
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,524925,Zari,396220
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524962,Amboli,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524946,Athal,396235
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524955,Chikhali,396240
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524932,Demani,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524967,Goratpada,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524985,Kherdi,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524940,Kilavani,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524969,Kothar,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524991,Mandoni,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524937,Nana Randha,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524949,Saily,396240
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524933,Tighra,396193
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,921574,Umarkui,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524934,Vaghchhipa,396230
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,524918,Bhamati,396220
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,524930,Dabhel (Ct),396215
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,524931,Kachigam (Ct),396215
38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,3948,Daman,935178,Somnath,396215
38,The Dadra And Nagar Haveli And Daman And Diu,464,Diu,3947,Diu,524910,Saudwadi,362520
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524994,Bedpa,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524993,Bensda,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524976,Bildhari,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524982,Chauda,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524943,Dhapsa,396235
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524986,Dolara,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524974,Dudhani,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,921572,Galonda,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524978,Karchond,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524958,Khadoli,396230
38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,3949,Dadra & Nagar Haveli,524965,Khanvel,396230
