stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
11,Sikkim,225,Gangtok,1553,Gangtok,943205,Lingdok,737103
11,Sikkim,225,Gangtok,1553,Gangtok,261311,Naitam,737103
11,Sikkim,225,Gangtok,1553,Gangtok,261287,Namli,737135
11,Sikkim,225,Gangtok,1553,Gangtok,261310,Nandok,737135
11,Sikkim,225,Gangtok,1553,Gangtok,943203,Penlong,737103
11,Sikkim,225,Gangtok,1553,Gangtok,261257,Raleyhesey,737107
11,Sikkim,225,Gangtok,1553,Gangtok,261308,Tathangchen,737103
11,Sikkim,225,Gangtok,1553,Gangtok,943193,Upper Sichey,737101
11,Sikkim,225,Gangtok,1553,Gangtok,943195,Upper Tadong,737102
11,Sikkim,225,Gangtok,7177,Rabdang,261279,Martam,737134
11,Sikkim,225,Gangtok,7177,Rabdang,261276,Phengyong,737134
11,Sikkim,225,Gangtok,7177,Rabdang,261260,Simik,737134
11,Sikkim,225,Gangtok,7177,Rabdang,261264,Singbel,737134
11,Sikkim,228,Gyalshing,6398,Dentam,261040,Berthang,737113
11,Sikkim,228,Gyalshing,6398,Dentam,261042,Chingthang,737113
11,Sikkim,228,Gyalshing,6398,Dentam,261051,Dentam Forest Block,737113
11,Sikkim,228,Gyalshing,6398,Dentam,261036,Hee Patal,737113
11,Sikkim,228,Gyalshing,6398,Dentam,261038,Martam,737113
11,Sikkim,228,Gyalshing,6398,Dentam,261028,Sopakha,737113
11,Sikkim,228,Gyalshing,1549,Gyalshing,261003,Bhaluthang,737111
11,Sikkim,228,Gyalshing,1549,Gyalshing,260999,Chumbong,737111
11,Sikkim,228,Gyalshing,1549,Gyalshing,261049,Pelling Forest Block,737111
11,Sikkim,228,Gyalshing,1549,Gyalshing,260993,Sindrangbong,737111
11,Sikkim,228,Gyalshing,1549,Gyalshing,261002,Unglok,737111
11,Sikkim,228,Gyalshing,6397,Yuksom,261005,Arithang,737111
11,Sikkim,228,Gyalshing,6397,Yuksom,260989,Melli-Aching,737111
11,Sikkim,228,Gyalshing,6397,Yuksom,261009,Narkhola,737111
11,Sikkim,226,Mangan,1547,Chungthang,260927,Chungthang,737120
11,Sikkim,226,Mangan,1547,Chungthang,260933,Chungthang Forest Block,737120
11,Sikkim,226,Mangan,1547,Chungthang,260925,Lachen,737120
11,Sikkim,226,Mangan,1547,Chungthang,260929,Toong,737120
11,Sikkim,226,Mangan,1547,Chungthang,260974,Upper Dzongu Forest Block,737116
11,Sikkim,226,Mangan,6402,Dzongu,260951,Barfok,737116
11,Sikkim,226,Mangan,6402,Dzongu,260952,Lingdong,737116
11,Sikkim,226,Mangan,6402,Dzongu,260945,Pentong,737116
11,Sikkim,226,Mangan,6401,Kabi,260967,Chawang,737116
11,Sikkim,226,Mangan,6401,Kabi,261320,Pangthang Forest Block,737107
11,Sikkim,226,Mangan,6401,Kabi,260970,Pani Phensong,737116
11,Sikkim,226,Mangan,6401,Kabi,260966,Phodong,737116
11,Sikkim,226,Mangan,6401,Kabi,260962,Tanek,737121
11,Sikkim,226,Mangan,6401,Kabi,260957,Tingchim,737121
11,Sikkim,226,Mangan,1548,Mangan,260937,Pakshep,737116
11,Sikkim,226,Mangan,1548,Mangan,260936,Singchit,737107
11,Sikkim,227,Namchi,6399,Jorethang,261120,Chisopani,737126
11,Sikkim,227,Namchi,6399,Jorethang,261117,Denchung,737126
11,Sikkim,227,Namchi,6399,Jorethang,261123,Dorop,737126
11,Sikkim,227,Namchi,6399,Jorethang,261150,Kerbari,737128
11,Sikkim,227,Namchi,6399,Jorethang,261152,Mellidara,737128
11,Sikkim,227,Namchi,6399,Jorethang,261149,Ramabung,737126
11,Sikkim,227,Namchi,6399,Jorethang,261134,Sumbuk,737126
11,Sikkim,227,Namchi,1551,Namchi,261109,Damthang,737126
11,Sikkim,227,Namchi,1551,Namchi,261180,Gangchung,737126
11,Sikkim,227,Namchi,1551,Namchi,261132,Kitam,737126
11,Sikkim,227,Namchi,1551,Namchi,261201,Namthang Forest Block,737126
11,Sikkim,227,Namchi,1551,Namchi,261126,Shyampani,737126
11,Sikkim,227,Namchi,1551,Namchi,261141,Singthang,737126
11,Sikkim,227,Namchi,1551,Namchi,261125,Sorok,737126
11,Sikkim,227,Namchi,1551,Namchi,261184,Tarku,737126
11,Sikkim,227,Namchi,7542,Namthang,261160,Bikmat,737126
11,Sikkim,227,Namchi,7542,Namthang,261194,Donok,737126
11,Sikkim,227,Namchi,7542,Namthang,261169,Karek,737126
11,Sikkim,227,Namchi,7542,Namthang,261172,Perbing,737126
11,Sikkim,227,Namchi,7542,Namthang,261161,Rateypani,737126
11,Sikkim,227,Namchi,7542,Namthang,261177,Thangsing,737126
11,Sikkim,227,Namchi,7542,Namthang,261190,Tshalamthang,737126
11,Sikkim,227,Namchi,7542,Namthang,261191,Turung,737126
11,Sikkim,227,Namchi,1552,Ravangla,261212,Jarrong,737126
11,Sikkim,227,Namchi,1552,Ravangla,261252,Kewzing Forest Block,737126
11,Sikkim,227,Namchi,1552,Ravangla,261050,Legship Forest Block,737126
11,Sikkim,227,Namchi,1552,Ravangla,261208,Lingding,737126
11,Sikkim,227,Namchi,1552,Ravangla,931588,Rabong Bazar,737126
11,Sikkim,227,Namchi,1552,Ravangla,261224,Tinkitam,737126
11,Sikkim,227,Namchi,6400,Yangang,261233,Lingmo,737126
11,Sikkim,227,Namchi,6400,Yangang,261237,Mangzing,737126
11,Sikkim,227,Namchi,6400,Yangang,261240,Namphok,737126
11,Sikkim,227,Namchi,6400,Yangang,261244,Satam,737126
11,Sikkim,227,Namchi,6400,Yangang,261239,Sripatam,737126
11,Sikkim,741,Pakyong,1554,Pakyong,261330,Aho,737106
11,Sikkim,741,Pakyong,1554,Pakyong,261316,Assam,737106
11,Sikkim,741,Pakyong,1554,Pakyong,261331,Changey-Santi,737106
11,Sikkim,741,Pakyong,1554,Pakyong,261317,Lingzey,737106
11,Sikkim,741,Pakyong,1554,Pakyong,261333,Namcheybong,737106
11,Sikkim,741,Pakyong,1554,Pakyong,261342,Pacheykhani,737106
11,Sikkim,741,Pakyong,1554,Pakyong,261345,Tarethang,737106
11,Sikkim,741,Pakyong,1554,Pakyong,261343,Taza,737106
11,Sikkim,741,Pakyong,6396,Rangpo,943210,Singtam,737134
11,Sikkim,741,Pakyong,1555,Rongli,261358,Lamaten,737131
11,Sikkim,741,Pakyong,1555,Rongli,261363,Subaneydara,737131
11,Sikkim,741,Pakyong,1555,Rongli,261371,Tarpin,737133
11,Sikkim,742,Soreng,7178,Mangalbarey,261062,Deythang,737121
11,Sikkim,742,Soreng,7178,Mangalbarey,261068,Kamling,737121
11,Sikkim,742,Soreng,7178,Mangalbarey,261070,Segeng,737121
11,Sikkim,742,Soreng,7178,Mangalbarey,261053,Tadong,737121
11,Sikkim,742,Soreng,1550,Soreng,261082,Bhareng,737121
11,Sikkim,742,Soreng,1550,Soreng,261098,Chumbong,737121
11,Sikkim,742,Soreng,1550,Soreng,261089,Lower Fambong,737121
11,Sikkim,742,Soreng,1550,Soreng,261096,Mendo-Gaon,737121
11,Sikkim,742,Soreng,1550,Soreng,261104,Nayabazar Forest Block,737121
11,Sikkim,742,Soreng,1550,Soreng,261077,Singling,737121
11,Sikkim,742,Soreng,1550,Soreng,261094,Soreng,737121
11,Sikkim,742,Soreng,1550,Soreng,261093,Tharpu,737121
11,Sikkim,225,Gangtok,1553,Gangtok,261314,Bhusuk,737103
11,Sikkim,225,Gangtok,1553,Gangtok,943198,Burtuk,737101
11,Sikkim,225,Gangtok,1553,Gangtok,261286,Chuba,737135
11,Sikkim,225,Gangtok,1553,Gangtok,943191,Gangtok,737101
11,Sikkim,225,Gangtok,1553,Gangtok,261315,Gnathang,737102
11,Sikkim,225,Gangtok,1553,Gangtok,261301,Lingdok,737121
11,Sikkim,225,Gangtok,1553,Gangtok,261305,Luing,737103
11,Sikkim,225,Gangtok,1553,Gangtok,261300,Namphong,737107
11,Sikkim,225,Gangtok,1553,Gangtok,261319,Nathang Forest Block,737102
11,Sikkim,225,Gangtok,1553,Gangtok,261253,Rakdong,737107
11,Sikkim,225,Gangtok,1553,Gangtok,261291,Sajong Rumtek,737135
11,Sikkim,225,Gangtok,1553,Gangtok,943200,Samdur,737102
11,Sikkim,225,Gangtok,1553,Gangtok,261309,Syari,737102
11,Sikkim,225,Gangtok,1553,Gangtok,261254,Tintek,737107
11,Sikkim,225,Gangtok,7177,Rabdang,261262,Lingzey,737134
11,Sikkim,225,Gangtok,7177,Rabdang,261266,Thangsing,737134
11,Sikkim,228,Gyalshing,6398,Dentam,261041,Barphok,737113
11,Sikkim,228,Gyalshing,6398,Dentam,261030,Begha,737113
11,Sikkim,228,Gyalshing,6398,Dentam,261031,Mangmo,737111
