stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
12,Arunachal Pradesh,718,Kamle,1700,Kamporijo Circle,265092,Tache Tale,791120
12,Arunachal Pradesh,718,Kamle,1700,Kamporijo Circle,265091,Teblisi,791120
12,Arunachal Pradesh,718,Kamle,1700,Kamporijo Circle,265020,Tokuso Rijo,791120
12,Arunachal Pradesh,718,Kamle,1700,Kamporijo Circle,265060,Yuker,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263147,Angolomdak,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263157,Bodak,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263149,Gich Putu,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263186,Hayi,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263181,Lungkone,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263192,Megdong,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263190,Mona Don,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263166,Moya Geko,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263152,Pega Koyo,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263162,Pitak,791120
12,Arunachal Pradesh,718,Kamle,1616,Puchi Geko Circle,263154,Puchi Geko East,791120
12,Arunachal Pradesh,718,Kamle,6129,Raga Adc,265167,Gumtu,791120
12,Arunachal Pradesh,718,Kamle,6129,Raga Adc,265158,Kisho,791120
12,Arunachal Pradesh,718,Kamle,6129,Raga Adc,265130,Lit Komt,791120
12,Arunachal Pradesh,718,Kamle,6129,Raga Adc,265165,Moinpu,791120
12,Arunachal Pradesh,718,Kamle,6129,Raga Adc,265161,Old Mega,791120
