stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
20,Jharkhand,331,Gumla,2713,Chainpur,376070,Haradipa,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376139,Harra,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376091,Jamgain,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376132,Jirmi,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376076,Kerabar,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376121,Kochagani,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376136,Kurkel,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376106,Kurumgarh,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376087,Loramba,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376092,Maheshpur,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376083,Mahuatoli,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376137,Nadawal,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376077,Shukri,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376093,Silfari,835207
20,Jharkhand,331,Gumla,2713,Chainpur,376125,Sokrahatu,835207
20,Jharkhand,331,Gumla,2714,Dumri,376188,Chhotakatra,835207
20,Jharkhand,331,Gumla,2714,Dumri,376198,Chiraiyan,835207
20,Jharkhand,331,Gumla,2714,Dumri,376148,Dabu,835207
20,Jharkhand,331,Gumla,2714,Dumri,376152,Dina,835207
20,Jharkhand,331,Gumla,2714,Dumri,376189,Dumri,835207
20,Jharkhand,331,Gumla,2714,Dumri,376171,Hotap,835207
20,Jharkhand,331,Gumla,2714,Dumri,376149,Irawal,835207
20,Jharkhand,331,Gumla,2714,Dumri,376181,Jonkidohar,835207
20,Jharkhand,331,Gumla,2714,Dumri,376194,Karamdon,835207
20,Jharkhand,331,Gumla,2714,Dumri,376203,Lowabar,835207
20,Jharkhand,331,Gumla,2714,Dumri,376156,Majhgaon,835207
20,Jharkhand,331,Gumla,2714,Dumri,376207,Saintoli,835207
20,Jharkhand,331,Gumla,2714,Dumri,376190,Shekhpura,835207
20,Jharkhand,331,Gumla,2714,Dumri,376184,Sirmi,835207
20,Jharkhand,331,Gumla,2714,Dumri,376177,Sirsi,835207
20,Jharkhand,331,Gumla,2714,Dumri,376173,Udni,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375565,Ajiyatu,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375632,Arangi,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375541,Barang,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375530,Bhelwadih,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375526,Bimarla,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375628,Chumnu,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375613,Gomat,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375612,Goya,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375555,Icha,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375518,Kanrasili,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375630,Kuhipat,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375570,Kurag,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375531,Lowadag,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375556,Mahugaon,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375564,Nawadih,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375616,Panwari,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375523,Saraidih,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375532,Sehal,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375582,Serjama,835207
20,Jharkhand,331,Gumla,2707,Ghaghra,375577,Totambi,835207
20,Jharkhand,331,Gumla,2712,Gumla,376037,Bangru,835207
