stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode
17,Meghalaya,656,North Garo Hills,7334,Adokgre,275098,Aruagre,794110
17,Meghalaya,656,North Garo Hills,7334,Adokgre,275057,Chigranggre,794110
17,Meghalaya,656,North Garo Hills,7334,Adokgre,275094,Doreng Saram,794110
17,Meghalaya,656,North Garo Hills,7334,Adokgre,275097,Memillam,794110
17,Meghalaya,656,North Garo Hills,7334,Adokgre,275045,Tinsimina,794110
17,Meghalaya,656,North Garo Hills,1972,Kharkutta,275000,Chibongga A,794110
17,Meghalaya,656,North Garo Hills,1972,Kharkutta,274974,Kasumari (Songading),794110
17,Meghalaya,656,North Garo Hills,1972,Kharkutta,274984,Lower Bolmedang,794110
17,Meghalaya,656,North Garo Hills,1972,Kharkutta,274955,Mendima Gruram,794110
17,Meghalaya,656,North Garo Hills,1972,Kharkutta,275019,Upper Rajasimla,794110
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277102,Dewsaw,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277012,Dongki Ingding,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277077,Khah,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277003,Ladpnarthymmai,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277122,Langtor,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277045,Lawkynter,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277120,Madan Khalek,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277113,Manai Incl Mawpun,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277057,Mawblei A & B,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277033,Mawdumdum,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277062,Mawkarah Mawpni,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277016,Mawkarah Nongkdait,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277017,Mawkarah Nongpyndiang,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277073,Mawkohmit & Mawkynsah,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277067,Mawkyrdang,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277010,Mawlumkhri,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277088,Mawnai Incl Pyndengjarain,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277051,Mawroh,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277090,Mawshut Incl Mawiong Mawshut,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277056,Mawsium,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277065,Mawsmai,793120
17,Meghalaya,740,Eastern West Khasi Hills,1982,Mairang,277043,Mawsnar,793120
